Review,Rating
I am new at rotary cutting so decided to buy this product to help me do a better job of cutting for my second quilt. I didn't notice any change - still slippery - moved while cutting. I am aware that as a new quilter I probably need more practice rotary cutting.,2.0
"We applied this product to our templates used for free motion quilting.

Application was easy, but the templates still easily slip on the fabric.

Really not worth the money.",2.0
"This did not do a great job at preventing slipping.  The plastic is just not ""sticky"" enough;  It is too slick and the ruler still slides.  It is clear and easy to see through, though.  The little sandpaper dots work better, but they block the markings.",2.0
"I thought I would give this a try, but I can't say the slipping quit, plus at moments it would come off the back side. I have noticed on some fabric the slippage is not as bad, but I use cotton a lot and it just didn't work.",2.0
"a group of ladies that sew Quilts of Valor together tried this product on several rulers, and several cutting mats.  We could not tell there was any help with the slipping of rulers no matter the combination of brands of rulers and/or mats",2.0
"It really doesn't keep your ruler from moving on the fabric.  It's better than nothing, but it's probably not worth it.",2.0
I didn't find this worked well at all.  Don't waste your money here.  Rulers did not hold place any better with this on it at all.,2.0
"Like most quilters, I have a big inventory of rulers.  The key is to keep them where you put them to cut accurately.  I bought this product with the expectation that it would help.  Unfortunately, I found that it doesn't really prevent slippage.  I have experienced much better grip using the little sandpaper dots.  They don't really obscure the marks and are cheaper.",2.0
"Right out of the box, the machine was missing the zigzag presser foot. I called Brother and they said I had to contact the retailer. When I finally got the foot, the machine was inoperable. I never even got to sew anything! I purchased a Singer 1507 and I am very pleased.",2.0
"I've had this machine little more than two weeks, and every day I run into some sort of problem. For $100 you can't expect great quality, and you certainly don't get it with this machine.",2.0
"This machine is a nightmare, it is hard to use for my mother who is an experienced sewer and has been sewing since her 20's and sews very often. The machine is lacking in many simple thing such as the fact that the thread guide in step 4 doesn't stick out of the covering and so you have a hard time threading it, the needle threader instructions aren't clear and we still haven't figuredout how to use it, and the presser foot is just simply slid on rather than screwed tightly and so it often falls off if you move your hand over it while trying to thread the needle. This is so cheaply made and not at all user-friendly. It's a waste of $100. At least if you buy it at a proper store, you can try it out and have someone show you how to use it before you buy, by ordering online, you don't know what your getting nor have anyone to show you how to use it.",2.0
"We ordered 7 of these machines for our school sewing class, and each machine is in use approximately 1-2 hours per week.  Upon receipt, one of the machines would not work, and we received a replacement.  We have now been using the machines for about 6 weeks, and have consistently had problems with the bobbin casing dislocating and causing the needle to jam or break.  The sewing instructor, who has extensive sewing experience, used the word temperamental to describe them and said that they are a nightmare for the frustrated students attempting to learn to sew.  They were reasonably priced, but I guess you get what you pay for.",2.0
I was hoping this product would work on silver/crystal jewelry combinations but it is best for the crystal. Not effective on silver.,2.0
This product did a really poor job of cleaning my silver earrings; it didn't remove much tarnish.,2.0
Doesn't clean very well.,2.0
"This product just doesn't work! The cover doesn't fit right and the product leaks. Additionally, if you are looking for a silver or platinum clean, this product just isn't for you. It does an okay job on stones and gold. In my opinion, this product just isn't worth the money!",2.0
"This cleaner works just fine. That being said, the bottle leaks like crazy even when closed. It leaked so much that I kept it in a zip lock bag, which began to smell terrible.
I ended up throwing it away. Waste of money because of the horrible packaging.",2.0
I did not find it to be very good. Bought by reading the good reviews and got fooled I guess. It doesn't do a very good job. I would say it is just an okay product.,2.0
"The liquid works as well as the more expensive brands, however, the packaging is very poor and cheap.  The top was difficult to screw on properly once opening and this caused a lot of the liquid to evaporate and was a nuisance. In addition, the tray and brush inside are very difficult to reach/grab so you end up sticking you fingers inside the liquid for every cleaning.  I am happy to pay more for the better packaged jewelry cleaners.",2.0
"The stamps themselves work well. The brass spring-loaded tool that goes with it is junk. When you try to strike it slips up and down and you lose the firm grip and placement on your piece. If you use this to stamp any metal the punching tool just brakes. The spring failed and the upper portion of the handle just slid over the lower part and split apart, pieces going into my engine block! Not fun at all. I would suggest buying a kit that has longer stamp shafts and just using a pair of pliers to hold it.  A jeweler's hammer doesn't have enough mass to mark what you are stamping. Any heavier hammer smashed the tool. Just stick with a tool without the spring in it for the next kits.",2.0
It does not come with directions and I don't know how to use the punch.,2.0
"This is a SINGLE pack of 5 needles (at over a dollar per needle), not a ""3-pack"" or ""3/Pkg"" as description suggests.
Decent needles, faulty advertisement.",2.0
"not made in England as the ad states.
quote from the package ""assembled ans inspected in England using needles imported by Entaco to our Quality and specification""",2.0
This is not quite what I thought it would be. The sand comes off. It's not see through so it obscures my cutting ruler measurements. It's small so it's not big of a deal.,2.0
