Review,Rating
"flimsy
not good for harsh weather condition
sticks to car
pull off at your own risk
may take the paint off with it
you get what you pay for",2.0
"I chose the correct length for my car but it does not fit well, and there's no way to fasten this thing. Gone with wind.",2.0
Leaves particles,2.0
"Doesn't fit a 2007 Grand Prix GT...need to work on your fitment software.  I think it will fit my son's Z/28 and I can use his cover that was too big last winter, otherwise it will be returned.",2.0
Disappointing,2.0
"I am really surprised, the cover material is completely coming to shreds after about 5 month of use. My car stays outside under the sun, so I suspect the material is getting very hot. I will try the warranty to see if they send me a new one.",2.0
"I used this to cover my car in the driveway while I was away at my summer job. The fit was fine, I was content that I was protecting my car from UV damage. I covered it at the end of April.  By July my neighbor sent me a photo.  The cover had been totally shredded by the elements. He asked if he could remove the eyesore that was no longer doing its job. I do not recommend this cover for long use.",2.0
"I have used rainx for years, I love it. However, I think they are cheap rascals because the company does not put a washer under the cap to keep it from leaking all over the place. So, either buy a washer to place under the cap, place in another container or put up with the leakage and smell in your car.",2.0
Received with about a quarter missing. The seal was broken and it appeared to have leaked in the packaging.,2.0
I thought that it was going to be easier to put on and off and the material scratches the paint a little bit,2.0
bad,2.0
rip on the first day,2.0
didn't last more than 3 months under a California Burlingame sun. I would recommend spending more and get a quality cover - sometimes you get what you pay for - in this case I'd agree.,2.0
Don't use this on your front windshield. Has a haze and glare from oncoming headlights that is a safety problem. On sides and back probably okay.,2.0
"Bought this a couple months back. Really liked the fit, was easy to put on my Cadillac SRX 2006 Base model.

But like other people have said, it's not very tough material. As soon as summer hit (~100 degrees Farenheit here in Tucson, AZ) it literally started to disintegrate. So that's $40 for 2 months of protection. Better luck next time.

TLDR: Don't buy this if you live in a place that has over 100 degree weather. It's lightweight, basic protection. That's it.",2.0
Material is very flimsy. Cover blows off in the wind. Developed tears after a short time. Then started to fall apart altogether.,2.0
This thing fits my 99 chrysler 300M but when hooking bungie to bottom to keep it on top of car because it will blow off it ripped the wholes that the bungies were suppose to go through. Very thin. I think if you take great care of it and are lucky and there is no wind ever where you live then it may last 8 months to a year,2.0
The cover is impossible to put on alone and there isn't a hole for the antenna to go through.  Not great.,2.0
"I don't like it because it's so big and I can not set it up by myself. I must call my friends to help me to set it up. And when I take it out, it is difficult to compress.  Even I return it that I can not to find a box that has enough space to  fix it.",2.0
