Review,Rating
Nowhere I found to write a message.,2.0
"Its a gift card what can you say, but the gift box it came in looked as though it had been drop on the floor and kicked around and then shipped.",2.0
"Disappointed in the condition of the box. The ribbon was flattened and dusty and the white box had some brown sticky stuff on it.  Since it is a gift, I expected it to be in better condition.",2.0
"This was for a wedding gift and the white box had what looked to be yellow food spots on it. I was able to clean off 3 spots, but not one of the larger spots.",2.0
I purchased the giftcard for my sister for Mothers Day. Didn't receive it until two weeks later.....THANKS!,2.0
"Please add the name and Billing address while sending gift card. Otherwise how people are supposed to find out who sent the gift card?
And also allow us to send a short message like Happy Birthday!! or Happy Anniversary!!!!",2.0
"The boxes where scratched and stained. Not nice at all. It is a gift card, and when you give a gift, you expect it to be impeccable.",2.0
Box was not as nice as it looks on line.,2.0
Bad packaging. Box has some kind of stains (may be printed receipt ink marks).,2.0
"Boxes dirty, scuffed and not gift-worthy. How badly can you mess up a box. Jeesh! We bought 4 and the boxes were all marked up and dirty. I can't even wipe it off.",2.0
"The box was a used one... had some note that someone tried to erase, looked dirty. We were not able to use the box for the gift, just tossed it out. The card itself was fine.",2.0
"Got to me withing 24 hours but the gift box had sticky stuff on it, and some dirt on the inside where the card is held.",2.0
The gift box it came in looked cruddy like it had been used before...I'll have to buy a new gift card box because it is not acceptable to give someone.,2.0
"I bought a $100 gift card for my mother last year for Christmas and for some reason, they are having trouble getting it connected with her email account and she still, 11 months later, has not been able to use it.  They continue to charge her credit card.  I've never seen anything like this.  My mother is  82 and she has called them several times to no avail.  She had to change her email and apparently they can't seem to get the change made so that it is associated with than new email. They continue to tell her on each call that they have it straighten out and each time she orders they charge her credit card.  I have even called when I was visiting in September and was told that they had it straighten out but they still do not!!",2.0
there gift cards come on.,2.0
"It is pretty much as pictured, and would be a lovely presentation, but the box was dirty, and not in a way that it could be cleaned.  I would not order this again.",2.0
Never recieved promotion 10$ amazon code or credit.,2.0
"The gift card was fine but the gift box it was in was DIRTY.  There wasn't time to return it.  I couldn't give it in the box as a gift, which ruined the whole presentation.  I am very disappointed.  I have never had this happen before.  I usually love the Amazon shopping experience.",2.0
Gifts card was fine but I didn't get the promised 10$ bonus back after the promotion time. Disappointed I bothered.,2.0
Bought this as a gift for a wedding. The box does not look as good as the image here... Ended up buying a wedding card and put the gift card inside instead... Disappointed with this purchase,2.0
I bought two gift card boxes. One is white and one is black.  The black box looks neat and is nicely sealed.  The white box is dirty and is not sealed.  What a disappointment.,2.0
"Purchased this card for my mom for a mother's day gift. The box came dirty, smudged and damaged. That was so disappointing, especially for a WHITE box. The one positive thing is that Amazon sent a replacement right away, but it's still disappointing that they aren't delivering these in better condition.",2.0
"I was disappointed in the gift box that the gift card came in.  I realize it is free, but I would never give it away the way in the condition I received it.  The box was scratched and dirty.  I've ordered about 8 or 9 and had to repackage every one.",2.0
"The white gift box was smudged with glue or some other substance, giving it a very grubby appearance.  It took a little work on my part to make it attractive enough to give as a gift.",2.0
I was confused as to why they shipped a package and then informed me that they couldn't activate te card and resent another one.,2.0
"It's not as shiny as it looks, kind of dirty looking, but all that matters is the content, the money I put in right?",2.0
"Online shopping and gifts have gotten to be so impersonal, and often with surprising results.  We decided a physical giftcard might at least give the option for the receiver to have something to actually ""unwrap"", but alas, the box was most unattractive and the note was very very tacky.  With some new packaging we made it work, but overall a not a very good impression",2.0
"I was surprised by all the negative feedback about this gift card..... thought for sure Amazon would have all the bugs fixed by now. I ordered one anyway, it arrived promptly, but the personalized greeting was nowhere to be found. The recipient had no idea who it was from, or why she was receiving it. Kind of takes the fun out of it if you have to explain.",2.0
Well I was looking forward to getting the giftcard and gifting right away.  Instead I needed to go buy a new box because the one I recieved was damaged and had black marks on the corners.,2.0
"So everybody loves Amazon gift cards... hence you are reading this review.

If you are like me, you wanted something a little nicer than the simple gift card, and much nicer than the printed email; so you looked at getting the gift card ""with a free box""

Well, although our gift card arrived in a padded envelope, the box was dented and somewhat mushed; not quite in giftable condition.

As this was a thank you gift for our kids swim instructor, she was most interested in the actual gift card, it was a little bit disappointing to me to feel the need to put the gift card in a dented box, and then hide the dented box in a gift bag.

Next time I'll stick with the simple gift card only route.",2.0
"The box was really cute, but the bow was dusty and the box was dirty on its edges.  Looked old as if it had been sitting on a shelf waiting to be purchased.  Not the impression I want to give a friend when giving a gift.",2.0
"I purchased a $50 gift card for as a birthday gift.  I've never bought Amazon's gift card before.  I actually wanted a different card and gift box, but Amazon doesn't have a $50 amount for it.  So I decided to get this one instead.  Not a good idea.  The box was dirty, smudged in various places, as if someone with dirty fingers was doing all the shipping.  Unfortunately I didn't look at the box before giving it.  I'd advice that you buy a card with a dark box, that way any dirt won't show.  Really disappointed with Amazon, they could have taken a bit more pride.  Especially since this is their product, their gift card.",2.0
"The gift card was lovely, but it came with NO indication of who sent it or why!! Not even a receipt, just the box with the bow in a plain brown wrapper! You guys need to get your act in gear. I found out with a phone call who sent it and they said they had typed in a gift card to be included, but nothing happened!",2.0
"The box was beautiful and all, but I'm not sure if it was the shipping or if it was already damaged. But the box came to me all ripped up. Some gift this turned out to be.  Well, it did delivered as it said it would, fast, free, one day. But I would rather have it shipped to me non-damaged and later than soon and damaged.",2.0
"I ordered a bunch of gift cards for co-workers and others.  Amazon delivered them the next day as promised.  Missing one of the cards.  No personalized notes on any of the cards.  The boxes come with no names on the outside so if they were personalized I still had to break the seal and open each one to find out who the box was for.

Their online chat customer service is worthless.  I have a feeling they are not in the US.  I've spoken to three of them and they've basically told me to wait until next week to see if the box arrives and the notes ""should be there.""  There are no notes.

Disappointed.",2.0
I hadn't realised that the amount assigned for my gift would be in US dollars. This made my gift a lot more expensive.,2.0
"I purchased this gift card for my Mother-in-Law for Mothers' Day.  I would like to have had it shipped but Amazon forces you to purchase a $50 card to have it shipped.  I thought that it would be nice to put our photo on it and have it emailed to her, but you cannot have a the card emailed to a recipient.  What kind of BS is this????  I had to forward her the email link and then walk her through accessing the card in my account; I also had to give her all my account information and my credit card number in order for her to access and print this card.  Fortunately, I trust her; please explain to me Amazon why I would purchase a gift card from you that I couldn't have sent in some form or other to an actual recipient??????",2.0
"Yes, Great idea, But, it did not work for me !  It could have been my printer or way I tried to make
the picture come out on a Gift Card.",2.0
Following the instructions I redeemed the gift card into my Amazon account but the funds did not become available for the purchase I was in the process of making.,2.0
The photo came out a little fuzzy,2.0
im lost on this one!,2.0
I'm sure this does not happen all of the time but the card ended up not working and I had to call and have amazon manually add it to my friends account along with another one. In the end Amazon was very helpful and did not give me a hard time. I am pleased with the customer service just wish it worked the first time so my friend did not have to wait to use there gift.,2.0
I am having trouble trying to use this gift card for myself,2.0
The hooks ripped off in the first month. Very poor quality for the price.,2.0
"I would have given this 5 stars if it came before I needed it. Beware of the amount of time it will take to arrive. If you are in a hurry, do not purchase. If you can wait a day, this is a good option.",2.0
I was surprized to find when I got my credit card statement that the currency I bought the card with was US dollars when I expected it to be Canadian dollars.  This should be made more obvious in the purchasing process.,2.0
I didn't like how it printed to A4. If it was an A5 size that would be better so it was a simple fold in half. that would streamline the design and make it a nicer gift.,2.0
"The card was easy to purchase and print, but was not understood by the recipient.  The recipient does not have any easy way to thank you for the gift. Amazon does not provide useful information on my ""orders"" list to let me know if the recipient did anything with the card.  (The ""orders"" list has status information like ""processing"" which could mean just about anything.) All told, I would say the gift card is perplexing trouble.

The card would need a lot of fine print in order to be comprehensible... such as that the recipient can be anyone, the recipient needs an Amazon account or can open one, the card can be used in part or entirety for any purchase at a later time on the Amazon web site, and the card should be redeemed right away even if you don't intend to use it right away.  Plus the card should say how to redeem it (which is already fine print on the card now.)",2.0
"When I called for support, I was on the phone for 1 hour and 10 minutes. The person helping me had very little knowledge of how gift cards and the greeting cards worked. The custom photo on the paper gift card was very small and didn't fill up the alotted area. There needs to be an option to have a plastic gift card with a custom photo upload for the associated greeting card.",2.0
"Product came bent, stained, and wrinkled.",2.0
"The product is what it is and that is fine, my problem is I selected the gift card option yet it was not included in the received order. The gift recipient did not have a clue who it was from.",2.0
"Card was purchased as a gift. Upon receiving it the card itself was pretty beat up. In the end it doesn't really matter since it's still worth the value, but I'm disappointed in Amazon's shipping and handling care and it detracts from the value of the gift.",2.0
Card came halfway opened in the back.,2.0
"Regret buying because of Starbucks leftist, anarchist political statements. They should stick to selling coffee, not selling out America.",2.0
The card was not activated and was worthless.  Still waiting for a response from Amazon!!!,2.0
Hoping it will arrive before Christmas,2.0
I just learned the recipient received on time but had no idea who the gift cards I sent were from.,2.0
"This was a gift with enclosed gift message.  Not sure why it took 8 days to arrive...and when it did, it didn't contain the message.",2.0
Was dissapointed. Purchased this for a Christmas gift and it was not received in a presentable manner. It was smushed and wrinkled in its packaging.,2.0
"I bought three Starbucks Cards, to give as gifts and use for myself.  I hallucinated that since I was purchasing the cards through the wonderful Amazon, my treatment at Starbucks would be the same as the magnificent customer service of the Amazon specialist.  Who are the best!  What was I thinking?

One evening late at night I entered the Starbucks on Hollywood & Western in Hollywood CA where I spent most of my gift card. After being given the code, I entered the bathroom.  Why was an armed security guard, siting directly across from the bathroom and waiting for me to come out.  A security guard was already there, but the called a security guard with a gun!

I asked him why was he waiting for me to come out of the bathroom?  With a smirky smile he said: ""I wasn't waiting for you.""  When I started to walk out, while following me, he asked the female worker:  ""Is it always like this?'  And she said:  ""No only when we have the stupid? half price Frapiccino sale!""  When I walked out, he walked out.  I returned five minutes later and he was gone.

I asked the manager why he allowed that to happen?  He said he does not hire security and he cannot control what they do.  They treat everyone who looks spooky to them like that.""  I asked:  ""Will you allow them to cuss your customers out?""  He said:  ""I would not allow that!""  Then I told him:  ""So you do have control,""  asked for the number to the Starbucks Corporate Office and left.  Two security guards were outside in the parking lot waiting.  One was in the car, one was standing.  I've experienced discrimination by the kids working at Starbucks, but that was the worst.",2.0
"I ordered three gift cards for a friend who was moving and selected one-day shipping, with the gift cards set to arrive the day before she was due to leave, so she and her son had gift cards to use for meal stops along the journey. She was to leave in the morning, as one does when they are moving 15 hours away, but instead of having the gift cards with her they were still on the fedex truck until 12:30pm. The one-day ""guaranteed"" shipping did not happen. There was no bad weather. There was no holiday rush. When contacted about the delay, there was no reason for why they failed to be delivered by the promised time. Just that they failed to be dispatched with any promptness, and from then on failed to be treated with any of the urgency one might expect with ""guaranteed one-day shipping"".
I got my shipping fees refunded. Well that was nice of them, wasn't it?",2.0
This is supposed to be a gift and the cardboard holder for the card is bent and creased which does not make for a very presentable gift.  Was not worth the convenience of having it delivered.  Next time I'll simply go to the store.,2.0
"UPDATED 12/26/13: Comments 'Revised' due to UPS holiday shipping problems broadcast in National News ... rating increased to 2 stars.

PROS:
- Can be shipped to address of person receiving gift
- Limited capability to send personalized message.

CONS:
- Likely due to UPS issues ... Not Delivered on Expected Date (projected to be 2-3 days late)
- Likely due to UPS issues ... Confusing delivery status info.
- Inconsistent experience to personalize messages
- Inflexible ... Message can  (& can not) be printed on Card

ACI Gift Cards, Inc. ... Ordered Amazon & Starbucks gift cards.  A Holiday Card comes with the Amazon gift card, but a personalized message can not be printed on it (only on the invoice).  However, for the Starbucks gift card, you can pay extra to add a Holiday Card with a personalized message.  Expected Delivery for both cards is now 2-3 days beyond the 'original' expected delivery date (likely due to UPS issues reported in National News for Holidays).  SUMMARY: This service allows you to select a gift card and ship it to the address of the person receiving the gift.  However, it is inconsistent in allowing a personal message to be added to a Holiday Card.  Problematic delivery may be due to UPS problems BUT to be sure read product & seller reviews to confirm delivery performance.  If you want to personalize a Holiday or Birthday card to be sent with your gift card, you may be better served buying a gift card and Holiday Card locally and using an expedited shipping method.",2.0
"I'm reviewing my most recent experience with a regal gift card, which I received as a gift (no surprise there).

I went to see a movie I was excited about, but Regal didn't have it. I picked a different movie that looked interesting because I had this gift card I needed to use. The movie was terrible!

I tried to get a large water from the concession stand, but they refused. Apparently you can only buy a large soda. I offered to pay their outrageous soda price with remnant gift card value, but have them fill my large cup with water instead. They refused. So I watched a terrible movie, parched and unhappy.

If you're thinking about giving someone this regal gift card, I'd suggest instead giving them $50 and a large glass of water. It's what they really want.",2.0
A poor deal for the money.  Can do better with matinees or senior discounts.  When I purchased I thought the deal included drink and popcorn.  Without add ons save your money.,2.0
"I thought I was doing great by ordering this 50.00 Gift Card, but it came loose from the adhesive and I have yet to find it.  Can I cancel the card and get it  replaced?  It was a Christmas gift to my in-laws.  I am so sick about it, and have looked everywhere, but am afraid it stuck to some other paper and it was accidently tossed into the trash can.",2.0
"I love the idea of sending a gift card by email, but I (like other reviewers) had the issue of the receiver getting the e-card from Amazon upon completing the order. Knowing this was a reported issue, I emailed the person that should have received the gift card to have them check their email. The e-card was not in their email, nor their spam mail, nor did they have any email filters that would have prevented the email from getting to them. I then got onto my Amazon account to check the order, and it stated that the gift card email was sent. There was an option to resend the gift card, so I did (making no changes to the original receivers email address). Upon the resend: the person did receive the e-gift card (yeah!), and I did get an automated email from Amazon stating the gift card was sent and received by person sent to (which I did not receive on the original order).

I will probably use the Amazon email gift card again in the future as long as follow-up with the intended recipient is part of the process.",2.0
The gift card reached the recipient without an issue.  I wanted to personalize the gift card with a photo of the mom to be and couldn't.  I tried you using several different pictures in size.  Reported the issue to Amazon.  They responded with resolutions I had already tried.  That's the reason for the 2 stars.,2.0
It was nice getting it all done in such a short time. I will be back again. Made a great gift.,2.0
It takes more than two weeks to be delivered to recipient after I sent the cards many times. I should mail a regular gift card.,2.0
"I was expecting a 10 dollar reward on this purchase of 50$ gift card, but i was not given",2.0
"The gift card would not print, and as I needed it for a gift that day, I had to go buy a gift card.  It finally printed the next day.",2.0
The process to purchase this gift card and apply it to my account was not easy. It was actually a very frustrating experience. Weeks later I received an email that it was not processed and there was a problem purchasing it even if I had already used it. I used it that same day...and NOW I'm being told there was a problem?!?!? It took me 3 tries to get someone on the phone (and via email) to tell me this had been resolved.,2.0
I don't seem able to redeem for kindle books.  It is not in the payment options to redeem a voucher.,2.0
could have had some bonus,2.0
Despite several tries this card would not print in color.  I checked my printer and it had color ink and working properly so the fault was in Amazon's delivery. It did print in  black and gray but that was hardly what I was looking for.,2.0
soso,2.0
You didn't send it to the recipient for 2 weeks - I asked her if she got it and said no; I forwarded the confirmation I got from you to her and she had to contact you THEN she got it.  Not sure what happened but if I didn't ask her if she got it it wouldn't have gotten there and would be out of $100 !! SO I wasn't very happy.......,2.0
"Disappointing - as for the second time I used this service the gift card was not delivered and I had to follow-up with customer service - they did rectify the situation, but not sure I would use this service again as I am now ""twice bitten"" and not sure I would risk it. - so this probably won't get published!!!!!",2.0
It is great for change a present or gift for a importantly people that you can't see or don't know a idea to gift to him and I don't know how write in English because I am a Venezuelan thanks a lot,2.0
I ordered for my friend who is amazon.com.  I use amazon.ca.  He was not able to redeem the certificate.  I thought that was weird and unnecessary in this hyper-wired world.  Make .com and .ca certificates interchangeable.,2.0
"I ordered this card for my nephew on September 22, 2013 -- but he did not receive it until October 20, 2013.  That is not acceptable to me.",2.0
"Reviews might be more objective if the reviewer was not compelled to fill this field in.  Even filling the field in is not enough, a minimum number of words is required.  Not only that, Amazon sends you an email that looks like the review form that actually is a click-through to the web site.  You cannot rate a purchase using the email as it is made to appear.  Because of the unsolicited email and the hassle Amazon creates in the process forcing a customer to go though all of this to do a review, I always deduct at least two stars.  I am happy to spend money and to give a rating.  Whether or not I provide a minimum length dissertation on the topic should be at my option.",2.0
"I never received ""a thank you"" for this gift card mentioned..  So, it is not that I really didn't like something as I had nothing to like tr dislike.",2.0
"When I printed it out, the entire card didn't print.  The code was cut off.  I had to reprint it twice to get it all.  I've ordered many Amazon Gift Cards that I've printed out, and this never happened.",2.0
"The top part of the basket handle did not print. Although, now looking more closely at the picture, I guess it wasn't supposed to which is dumb. The words could have been slightly smaller and then the entire basket would have printed",2.0
When I purchased this gift card I thought it would print out with the design I selected. It did not. What printed was the Amazon Logo. I did purchase this after Easter but I didn't think that would matter.,2.0
I was very disappointed that my original order was not sent and had to be resent AFTER Easter.  My granddaughter was disappointed !,2.0
"The gift card was fine and arrived for the recipient expeditiously. Was disappointed, however, that I did not receive the $10 in my account for purchase of the card.",2.0
"I spent a lot of time to download the picture and wrote a message, ect. Everything seemed to be OK until I got the final email - half of the picture was gone... I ended up cancelling it...:-(",2.0
"I never got a confirmation that my recipients received their cards. Worried it was money wasted. What if it went into junk mail or the recipient didn't understand that it is basically free money (maybe they are old-school and think it was a virus or something)?  Ok, yes I know this sounds paranoid but since I never received a thank you from my recipients nor any acknowledgement that the gift card were retrieved and used, I have no way of knowing if it was.

The card was easy enough to make but why can't I save a template to use on another person? I had to go through the whole process twice to send what was basically the same gift card. Also, it doesn't show up as my personalized card but as the generic amazon one in my orders and there is no way to see what was sent. It would have perhaps been nice to be copied on the email or something so I would have an idea of what my recipients saw.",2.0
I may have to re-think using amazon gift cards. The last one I sent I actually had to contact the recipient myself to see if it had been delivered! Rather embarassing! What happened to emailing when it is picked up by the recipient? If you cannot do that I won't be buying any more!,2.0
"The receiver couldn't use it on amazon.in
That's frankly a bummer.",2.0
