Review,Rating
Looks like a pretty rose color but when applied it looks brownish.,2.0
"I absolutely love this product and it lasts me up to a year. BUT, for the first time I bought it from amazon and not my local makeup store, and several months in and the entire container of blush crumbled into a thousand pieces like sand. I am really disappointed, and don't want to but it again, as I had many more months usage out of it. Not sure who to contact, but very disappointed.  It's not rendered unusable...",2.0
"Good color, but I don't care for the glitter",2.0
"My face broke out really bad with this stuff.  It is supposed to be non-greasy, but my face was so oily or waxy after use it took a couple of days for my skin to return to normal.",2.0
"Touts itself to be an antioxidant sunscreen, but the only 2 ""active"" ingredients listed are the usual sunscreen things. How it's supposed to be antioxidant is beyond me. Would not buy again.",2.0
This doesn't absorb very well and leaves a sticky feel on your face.  I prefer the EltaMd products.,2.0
"I really wanted to like this sunscreen. It's everything I want but good lord it's like a spotlight/highlighter on every pore of my face. No matter how long I leave it to soak in before applying makeup, no matter how much I blend, use my fingers, a beauty blender - my pores are like polka dots under my foundation and powder. A problem I've never had before!!!!!!!!!!

Grrr, so the search continues for an elegant physical sunscreen that has antioxidants and doesn't cost an arm and a leg nor come in a tiny bottle. I'm beginning to think it's not possible.",2.0
Received this today. The label looks like an old one was peeled off and a new one was put on. This is in both sides of the bottle. It was not sealed either. I want to ask other reviewers out there if they have noticed this lately. I know this can be a problem for online shopping. That fake items are substituted for the real one. So question. On your bottles is the label printed on the bottle or is it a stick on label? I will revise this comment when I find out if I received the real thing.,2.0
"Does a good job at protecting from the sun, but is a cream, not a lotion, very thick. Leaves the face with a white coating, certainly with a greasy look and feel, even clumps up as if looking like your skin is peeling.
Not recommended for face.
These other reviews are way too kind.
This sunscreen is effective, but very heavy and ere are other better options, lighter weight and with better formulas. The green tea and vitamin c in it have no effect after using for months.",2.0
I have large pores and this sunscreen seems to be too heavy for me. I always get a clogged pore after using it.,2.0
cheap,2.0
"curls look great right after they come out of the barrel but do not hold a curl for very long.  they look like a natural wave, which is nice as well, however, after a couple months of use I noticed my hair was breaking and my hairstylist said it was from the gold plate.  I have medium to fine hair and ceramic is the way to go for healthy, long-lasting curls.",2.0
good but too big,2.0
"unfortunately, a barrel this large doesn't seem to do a good job of holding the curl.  disappointing and returned.  i have fairly thick hair that is quite long and could barely tell i curled it except a tiny flip at the end",2.0
"This tool doesn't got hot enough even at what it says is ""400"". My cheap way-mart curler works better.  And the arm clamp that holds your hair in is too lose/weak",2.0
Had to return. It didn't work.,2.0
"This spring broke in less than a year, it was fine until that happened.",2.0
I received the curling iron but am disappointed to find that it does not sit properly on counter in resting position..regardless of what I do it tilts forward in an unsafe position so that it is resting on the counter top.  Considering the high temp of  these curling irons I am not comfortable leaving it even for  a moment.  I have checked the springs and they seem fine. This is a replacement for one just like it that I had for years ..never did my other one do this. This iron is a safety hazard unless it is right in your hand. Disappointed.,2.0
Does not hold my hair tight so my hair slips through,2.0
"I have think frizzy hair, I can usually get my hair to hold a curl well. I can not get my hair to hold a curl with this iron. No matter how small the a section of hair",2.0
"I was meaning to get the 1 1/2''
this is too big to make any curls and leaves clamp marks whenever i try",2.0
Too short of a barrel and the top doesn't clamp down well enough and the hug spring/ rest get's all caught up in your hair.,2.0
Curls do not last nor do they create any waves. Waste of money.,2.0
"I bought the 2"" iron. On the box there is a picture of a lovely long luxurious curl (think Rodeo girl hair).  When I tried it out on my long layered hair I did not get ANY curl, even on the shorter layers, even using product in my hair to ensure curls would hold, even on the highest temperature.",2.0
"This worked fine. For a while. I especially loved the extra long cord, but it wasn't anything special. Just a curling iron. It stopped working after 8 months. Worked one day, nothing the next. Amazon was cool about issuing a refund though.",2.0
"I can't be sure, but it doesn't seem like the real hot tools iron.  I have another one bought from the makeup store, and it works great without a problem.  This heats up weird (sometimes too hot, sometimes not enough), doesn't curl well, got some build-up on it that can't be cleaned off (which doesn't happen on the other iron).
I'm giving it a 2 rating just on the off chance that it is user error, but I seriously doubt it.",2.0
"It does not get hot the way I thought it would after reading some of the reviews, I thought it would be really hot I have thick hair and it didn't even feel warm after leaving my hair on the barrel for over a minute. My cheap conair one works a whole lot better i wonder if i got a defect item",2.0
"This 2-inch iron is ENORMOUS, as compared to other irons/wands. I was hoping it would work great for either huge curls, loose wave/curves, or for adding body to the very top of my head. It didn't work for any of those for me bc I think it's just too big to make anything really happen with the hair other than sort of straighten/iron it with a very slight curve. My hair is down to my waist too, so I did have plenty of length to try it on...but it just didn't work at all for me. Bummer, bc it looked so fun/cool to do different things!",2.0
"this curling iron works well. Gave a noce soft curl at the ends but when I received the iron it was obviously previously used. It had streaks on the barrel from someone using it with hair product
I was in a time pinch so I cleaned and disinfected it and used it since I did not have time to send it back and wait for a new one but it was very disappointing to receive it used.",2.0
"I read other reviews before making the purchase. Some other reviews stated that this didn't curl, and I brushed it off. I have very long hair - all the way down my back (somewhere close to 24"") - so I figured the other reviewers just didn't have enough length to curl. Surprisingly, they are right! I'm not sure whether the barrel is too thick to heat up properly, or if. . . hair just doesn't want to create a curl that large. . . but it didn't curl. It made my hair slightly wavy, but that was it. I'm returning it and getting a 1 1/4"" barrel, which seems to be the highest rated of the Hot Tools curling irons. I'm looking for the loose curls (beach waves), and thought the 2"" barrel would make it super easy with long hair. Great in theory, but didn't deliver.",2.0
Way to big. I wasn't able to use it sadly because the curls would not hold because of how much the iron is. I have long thinner hair so maybe this was the wrong size for me?,2.0
"2"" curling Iron didn't work for me.  My hair is straight and below shoulder length.  The unit was cumbersome to hold and didn't hold a curl without high heat or nearly burning my hair.  The flip bar or whatever that is called, was so stiff that it was hard to open and catch hair. When I did have my hair in place, being so tight and stiff I couldn't run it down to the ends of my hair without opening and thus losing the hair under the flip bar.  The finger tab to open the flip bar was so far from the body of the unit, I burned my finger when I missed that grip.

This curling Iron was not for me...  I've used several different ones over the years, but this one got returned.",2.0
"heating element works great, however, my hair is constantly caught on the screws. This is my second curling iron - same exact model/brand and the first one never did this.",2.0
"For the 3.5 months it worked, I loved this curling iron. It heated up quickly and held my curls all day. Then one day this week, it let out a poof of smoke and hasn't work since. The light still comes on, but it no longer heats up. Very disappointing.",2.0
"I usually LOVE HOT tools/Hot Shot Tools products, but I'm pretty disappointed with the performance of this iron. I have really heavy, thick, wavy hair so it's hard for my hair to hold a curl, but I fell in love with this brand when I found my 1 in barrel ceramic Hot shot tools curling iron. That was the first curling iron I ever found that was capable of holding my curls all day long. I took a real leap of faith when I tried this metal (as opposed to ceramic) iron. It had rave reviews and results photos from customers on Amazon so I thought I'd give it a whirl- thank goodness it wasn't too expensive because my curls fall out immediately. At best, I have a few waves at the bottom of my hair after trying to curl it for almost an hour. This iron takes a really long time to get hot, and just doesn't work that well on my heavy, thick hair. You can try your luck and maybe you'll have results like some of the other customers, but if you're like me try ceramic. I regret my decision to stray from my good ol' tried and true.",2.0
too large and combersom,2.0
Too large of diameter to make any curl or even a wave.,2.0
"Ooops what was I thinking ordering a 2 inch curling iron.  After my last hair cut, mine is too short.  You need really, really long hair for this one.",2.0
"Average, doesn't hold a curl.",2.0
This didn't work for me. Returned it.,2.0
"Heavy is an understatement for this curling iron. I ordered the 1"" and really liked it, so I ordered the 2"" for lift and body without tight curls. It was impossible to get this curling iron out of the box without destroying the box, so returning it was not an option. I've owned lots of curling irons, but I have NEVER owned one that was as heavy as this one. I didn't even try to use it because of its weight. Honestly, I was afraid my arm would give out before I left the hair wrapped around the barrel long enough to get the body and lift I was hoping for.",2.0
It does not get hot enough to hold a curl,2.0
"LOVE the big wand, but damaging to the hair.  Okay for occasional use, but not everyday.  I probably would not buy this again.",2.0
"I thought the curling iron would get hotter then it did, the curls did not stay in as well as I thought.",2.0
"Worked great, but for less than 1 year :(  I was very disappointed this product did not last quite 1 year before malfunctioning.  It was not misused or damaged, but stopped working for some reason.  I will not order this brand again, and cannot recommend it highly based on my experience.",2.0
do not work as I thought. The curlies do not look good.,2.0
"What I didn't realize - the bigger the barrel, the more your curls fall out.  My hair curls fairly easily - so the fact that it won't with this make me sad.  Looks cool in theory - but in use, not worth the money.",2.0
Gets way too hot.  Even the lowest setting was too hot,2.0
Doesn't hold a curl,2.0
"It was too fat, and I didn't care for it.  I thought I would like the 2"" curl, but I went back to using my 1.5"" or my flat iron to get a large curl.",2.0
"Even though I turned it all the way up, it still barely curled my hair, and was only somewhat successful when I used really thin chunks of hair. Mine's pretty thick, but it's layered and had a good product in it too.

I was using my 5-year-old Chi straightener at the same time, and let me tell you: that old Chi is three times hotter than this thing.

Definitely disappointed.",2.0
"I really wanted to love this curling iron! As someone who has only gotten curls professionally done, either I am just not good at it or something is wrong with the product. I tried ALL settings and the lowest to medium settings were just not putting any curls at all, anythibg above medium I was smelling burnt hair. Suffice to say I now have some burnt ends. I heard great things about this product but for me it just didn't work...it's promptly being returned.",2.0
"I should have reviewed a 2'' curling iron a little better before purchasing this. I was looking for big bouncy curls from this and that's not what you get. And after reviewing it AFTER I purchased it, (dumb), a lot of people have said the same thing. That's not what this curling iron is for. It will mostly straighten the hair and give a little volume but mostly do the straightening thing. So for my review I give it 2 stars because its not what I was expecting. If someone wants this to straighten hair then it would be a great product!",2.0
"I wanted big wavy curls...I knew this big iron wouldnt make tight curls, but I have long hair and it didn't even wave my hair...it took me like 5 min on one section to get a semi wave that fell flat minutes later. :(",2.0
"It's too big though, should have gotten 1-1/2"" but the product itself works well and transaction was fast and easy",2.0
I BOUGHT THIS TO DO MY FARRAH FACUETT CURLS BUT ITS TOO BIG THE CURLS DONT HOLD MY HAIR IS REALLY LONG SO IT JUST GIVES A BODY WAVE LOOK,2.0
Won't hold a curl and I refuse to use hairspray. Guess I'll just still to my flex rods for now. okay,2.0
