Review,Rating
"I loved this movie and took my young daughter to see it when it came out.  It is a beloved favorite. I downloaded it on Amazon Prime for my little granddaughters to watch when they were visiting.  The quality of the sound was so bad, I thought something was wrong with my speaker system, or some little fingers reset something and screwed it up. But, no, that was not it.  I checked my system with some other movies, tv shows and music on Prime and everything was fine.  Went back to ""Annie"" and again terrible sound quality.  The girls lost interest in the movie about 1/3 of the way in, and I'm sure that had to do with the sound.  I know it's an older movie, but I never had this happen before.",2.0
beautiful nature - the movie is just ok - wouldn't recommend it - pretty boring at times - had to fast forward it.,2.0
"Really. I grew up loving Robert Redford. And his voice is about the only thing good about this film with the exception of the cinematography (and the native chick's hair). But visuals do not make a story. Please...the book is a separate issue. I can imagine if you read it, this might make a great accompaniment to the story but on its own - uh uh.

Yes, it is begging to be some sort of metaphysical contemplative puff piece on the nature of family, love, existence, blah blah blabbity blah! What this film lacks are strong characters, heroes, thoughts, ideas, a plot, and anything else worthy of the concept of ""story"". Is it a visual poem? Maybe. But is it good poetry? Does it show why life is worth living? No. It does show why fly fishing is worth pursuing or why Montana may indeed be a nice place to visit or that all young men should grab a hot native chick off of a reservation and get thrown in jail with her.

Legends of the Fall is infinitely better in every single aspect than this little annoyance if you're into Pitt and the whole Bad Brother routine.

You know people who love to have coffee table books around, or Marxist dialectical imperative pamphlets lying around that they pretend to read? Or Jean Luc Godard films that they pretend to understand? Well this my friends is the American equivalent. Think Antonioni but without Monica Vitti and Alain Delon. And Eclipse almost made me gouge my eyes out.

In truth, sans sarcasm, I really wanted to love this film. I did not. I will not. I cannot. As it sadly suckity suck sucks!

God bless all of you. And please, at least admire me for standing up to all who come here to echo your own praises.

Let's be honest - all the reviews here are really just buds of Redford trying to make him feel good. Or worse...Robert himself with over 250 fake accounts. Really Robert...for shame!",2.0
To weird for me.  Didn't understand most of it.,2.0
Love the movie but horrible sound!!,2.0
I admired Robin Williams but I did not like all of his shows or movies.  This movie was wacky and I just could not get into it.  It is also a little bit raunchy--I am not a prude but this was a little much.  Most of all the plot was too weird for me.,2.0
"In its day (1991) this movie may have worked for many people, as I remember enjoying it.  However, it now seems overly contrived.  Neither the Jeff Bridges character, nor the Robin Williams character, seem very believable.  I felt I was wasting my time watching it again.",2.0
My 8 year daughter was really disturbed by the mean lady.  My 5 year old son was bored.  I was disappointed in the plot.  We didn't finish watching the movie.,2.0
"I've seen better movies with these actors. The best part was the park scene, other than that it was slow, a guy down on his luck.",2.0
It is an ok movie.  The problem with this movie is its too long.  The movie could have been cut by at least 45 min.  You learn about the main characters too many times - once is enough.  If you have 2 hours and 17 min to kill then watch the movie.,2.0
