Review,Rating
"Should have looked closer prior to buying.  Colors are blah, content is not particularly amusing or interesting to me.  I planned to use it on my kitchen wall, but it just wasn't the bright spot I had hoped it would be.

I tossed it after I got a replacement with pretty photos on it.",2.0
I agree with the other reviews. The website Scarsdale are better than the calendar. Some are ok and there's a funny one every other week.,2.0
Not as funny as the random cards you see.,2.0
I ordered this for something different for my desk this year.  I use these desktop calendars religiously at work and wanted to try something a little humorous this year.  Should've saved my money!  I found most of the pages so far to be either stupid humor that I would never even think of let alone say or so inappropriate for work that I have to cover the captions for the day.  Only a handful have been truly funny!,2.0
"I ordered this because I had seen several of these pictures on Pinterest and Facebook and thought they were hilarious, but the ones in this desktop calendar are just not very funny, and some are inappropriate enough (and again, not even funny) that I can't leave them on my desk at work.",2.0
"I tried to give it time, but I am not in love with this calendar.  I am not easily offended, however, some of the ""sayings"" really cross the line!  You could never have this sitting out in a place of employment.  Also, it's just not as funny as what I am used to seeing on the website.  I'm so disappointed and even now in April, I am going to look for a new calendar.",2.0
"I love the someecards online, but very few of these are even that funny. I wanted this for a desk calender at work but I can't have it out most of the time because most of these aren't work appropriate.",2.0
"As everyone else, I normally enjoy the many posts on social media however I just don't find much laughter coming from the desktop calendar. I really wanted to love it and even ordered it 2 months late thinking it would be worth it the rest of the year but I'm sadly disappointed in the not so funny humor they have listed.",2.0
I appreciate its sarcastic humor but I won't be purchasing another.,2.0
"Like others have said, this one not nearly as funny as others I've seen. And I had this at work and lots were a bit inappropriate for work. Threw it out",2.0
I love the concept of the ecard calendar but it immediately came apart when I opened it and then the back broke off. Sentiments are great but quality poor.,2.0
"its a cynical, Debbie downer  calendar
I regret buying it, I am really concerned  for whoever wrote the one liners. it is Gallows humor without  much humor.
unsophiscated  and mind numbing",2.0
Not funny this year.,2.0
"From the description given I was under the impression I would be getting a better quality product than what I received. The map couldn't have cost more than $15-20 and once I saw the poor quality of the frame I went and had it reframed with a much better wood frame that also had a glass covering for only $35. The current frame does not have any covering for the map, just an FYI.",2.0
"This map is a little hard to look at. It's too busy for me. Too many cities labeled. But then it doesn't label any rivers or lakes.

The country borders are a darker color than the rest of the country, and very thick, plus a thin dashed line. Why not just clear, black borders (or no line at all, just go by the colors)? It doesn't make any sense. For example, France is purple, Germany is green, and the border between them is dark purple. Ugly.

Czech Republic and Poland are the same color, though they border each other. Jordan is white, the same color used for bodies of water...

The map also has an ambiguous blue line running along the coastlines, which looks just like a river. You don't need a line along the coast, as it's pretty obvious where land ends and water starts!

I wouldn't recommend this map. Swiftmaps sells another one called ""48x70 World Classic Wall Map Laminated"", which has a better color and border scheme, but still shares the other problems, including Jordan looking like a body of water.",2.0
"it has conflicting information , in comparision from other resources ????",2.0
Quality of the paper used is disappointing. Doesn't seem like it will last very long as a color reference for a print shop.,2.0
"So, I have a client who is opening a chain of stores, and I am working on the corporate identity. But he wants to get a head start on the paint, so he buys some and lets me know the Pantone color he has chosen so I might use it in the design. Of course, since it was ""Color of the Year 2012, 17-1463 Tangerine Tango"", my older deck doesn't have it. No problem, I guess I'll just buy a new deck so I can have a crystal-clear visual on the color.

Well, SURPRISE! This deck does not have that color in it. It was my understanding that this was the newest version, so why they did not see fit to include last year's Color of the Year is a mystery to me. I guess this is the kind of bungle that happens when a company who has always been focused on printing ink decides to get into the kind of interior decor that gets bought at Home Depot. Really dropped the ball there, Pantone.",2.0
"colors are no longer in order numerically.
pages are very thin, this book is not going to last a busy contractor who is constantly looking for colors.
pages tear easily.",2.0
"Was disappointed with the size of the screen, especially for retires, and to show people with which you are attempting to communicate.",2.0
I was hoping that I could just speak a phrase or question into the device and it would translate and repeat it in the language I wanted to target instead of having to go through different sections and not always having the answer !,2.0
Does not translate from one language to another like the ones online. IS basically a dictionary and have some template sentences.,2.0
"I am a student of Italian and therefor wanted a complete, hand-held, easily carried dictionary for classroom use. This device fails in the first category. I have traded it for one that is Italian/English only versus this one that tries to be the Swiss Army knife of translators with its 17 languages and myriad features.",2.0
I ordered NIV but was given KJV edition.,2.0
"I'm in grad school and prefer the traditional method of note taking to typing everything out on a laptop or tablet.  I go through a number of composition books and was trying to be a little more ""green"", so I checked out these de-composition books.  Love the idea, but $6-7 per book?!  That's ridiculous.  If they were $2 a book (still twice the price of a normal composition book at Target) I would be happy to spend the extra money, but these are wildly impractical.  Kinda bummed that I will have to continue to use the other style versus these apparent novelty books.  Does anyone know where these can be purchased for a lower price?",2.0
I like the style of this book but the binding came apart in the first week of use.  I've taped the binding down myself so I can continue to use.,2.0
"I love the design and it was exactly what I was looking for, however when the notebook arrived the binding was peeling off. I saw a review on the product that said this was the case, but liked the design so much that I figured I would try it. I ended up having to glue the binding back on, which was frustrating. I am giving it as a gift, so hopefully the binding doesn't peel off again. This would be a great product, if the company used a glue that worked!",2.0
"The design is great, but the cover is not very durable.",2.0
"The bindings on both loose, though this may be a shipping error.  The front and back covers are only half as stiff as most composition books.  The black cloth that is supposed to cover the binding and wrap around the covers was only glued to the binding.  I will have to finish gluing it together myself.  I will not purchase anything made by Michael Roger, Inc. again.",2.0
"The book is great, if it wasn't falling apart as I open the packaging.. disappointed but hopefully I will be able to fix it, wish me luck.",2.0
"The binding immediately started falling apart - no big deal, I taped it back together with packing tape.  The bigger issue for me is that I like writing with Uniball Vision pens, and they bleed through this paper so badly it makes marks on the next page.  Too bad - if these notebooks were more durable I'd be really into them.",2.0
"Looks great, cheap construction compared to other comp books and not worth the price.  Fell apart quickly.",2.0
Love the journal and the idea... but it is falling apart. Not worth the price,2.0
"Bookmark stuck inside of plastic covering. Haven't gotten it out yet, but bookmark is very cute. Hope that I get it out without damaging the bookmark.",2.0
Has a dent and other imperfections.,2.0
Ruler measurements on the other side of it???? Bookmark comes somewhat scratched up. Only reason I am not giving a 1 star is because it was only 2 bucks. So I guess it's good for what you pay for but overall unhappy.,2.0
Arrived with a crease and the sleeve was kind of dirty. Wouldn't want to give it as a gift.,2.0
"Bad quality, scratched and dented",2.0
I love these book marks I usually buy them at barns and noble but they seem to be B-stock or something because they are peeling and the coloring is coming off. So I would not buy them online again.,2.0
"Love the bookmark itself but the one I received had obvious signs of having been out of its original packaging. It was taped to the packaging and you can see scratches on the surface of the bookmark, some letters look scratched off or wore out as if it was bought and then returned. I'm not happy about it.",2.0
"I love this bookmark, but literally the first time I used it the string came off and the beads fell off.",2.0
"I liked the iridescent notebook version of this, and I thought it would be the same.  It is matte finish, and not all that dramatic.",2.0
Beautiful but arrived bent:/,2.0
A cute bookmark but it fell apart since I purchased it a month ago. Beads and tassels fell off. I probably should have used a scrap of paper and saved three dollars.,2.0
"Nice bookmark, but the gold foil lettering stuck to the plastic covering.  Not acceptable for me to give as a gift as I was planning to do.",2.0
This was bent when I got it,2.0
Probably I didn't read the info but it's a thin paper which I wasn't expecting so that was a turn off but I guess you pay for what you bought,2.0
my bookmark took 2 months to get here!! and the beads ended up falling off,2.0
"not very good, so large",2.0
Very basic quality.  The tassel is the nicest part.  It's worth a $1 or $2...,2.0
"Over-priced and cheaply made. The strings unravelled on the second day, and the package was far too big for the bookmark.",2.0
The bookmark was pretty but fell apart almost immediately; therefor the bookmark was obviously not worth it. I ended up using other bookmarks.,2.0
"I got this bookmark in the mail and it came in with dents, scratches, and the corner was bent and was peeling. HIGHLY DISAPPOINTED.",2.0
Could have printed it out myself. Not laminated either.,2.0
Cool art and quote. That is all.,2.0
String was missing when it arrived.,2.0
"I just got my package through the mail (awesome delivery, BTW.) But the product wasn't as sturdy as I thought it was. I was able to pick the lock with my hands! (After locking it of course.) I was very disspointed. And the spine looks like it can be easily ripped out. If you are a heavy journalist, DO NOT GET THIS CUTE LITTLE DIARY!
-Sophia",2.0
"not very good, so large",2.0
Some of the gold letters were already stuck to plastic when I received the item.  It's not worth the price.,2.0
Did not have full poem on it... Guess I needed to pay closer attention to that but assumed...!,2.0
"Its a paper, not coated with protection from wear and tear",2.0
The entire poem is not posted on it. I was very disappointed.,2.0
