Review,Rating
"My husband bought this for me for my commute home from work. Although it is fine on main city streets, once I turned onto my cross street, (no street lights) I was pretty much on my own in the dark. Cars would be able to see the light in the dark, but it wasn't powerful enough to illuminate the street before me. I am returning it after one use.",2.0
"I went through two lights in one week during the winter. The cheap plastic breaks easily. The shells are hard to separate to change batteries. The attachments to the bicycle break. The light is bright, but not worth the price. The rear light is broken. The front is held by packing tape. However, the lights are bright and good for protection. Shame on Bell. Spend a few more dollars for better quality that will last.",2.0
"This is an overall good light.  The only problem with it is the clamps that are provided.  If dropped, the light breaks into pieces that can be put back together again, but that takes time.  Is not user friendly to other clamps.  The light is good but the clamps make it not worth the purchase.",2.0
"Very poorly constructed switch. Press it just a little too hard and its internal glue breaks. After that it lets rainwater in to short everything out. Not a terrible unit for the price if you are very careful with it and never use it in the rain. Flashing mode is adequate for letting people see you, but not otherwise particularly bright. It's an inexpensive unit that may last a couple of months.",2.0
"I thought this would be an upgrade to the Dogobie disc that I use with my dog.

Far from it. A big downgrade, actually. Within three throws, the top was punctured by my dog's teeth, making for jagged puncture holes that can eventually cut the dog's mouth.

It *looks* great, but doesn't even fly that well in relation to the Dogobie. Still looking for something a wee bit heavier and bigger than the Dogobie. This was definitely a disappointment, especially in light of all the positive reviews.",2.0
"So they look good but after  my boys used them the first day, they broke. Was looking for something a bit more safe for my younger boys to play hockey with. These didn't work so well.  The sticks are deceiving bc they are not 100% soft. There is a hard material underneath the 'soft' outer layer. So after a few plays, the inner piece broke and the stick was bent.",2.0
This is a really disappointing product. It doesn't perform like an Aerobie ring and it's not a very good frisbee either. It's kind of like playing with a big plastic container lid.,2.0
The set was very cute and I loved that it could be used indoor in the basement but the sticks broke after two uses.,2.0
The kids loved the Frisbee but from the picture they thought they were getting 4 of them.  They saved up their cash and split the cost but a lot of disappointment is still surrounding the fact that only one disk came.  The picture is deceptive and looks exactly like the typical frisbee golf packs of four.  I should have read the title with a little more effort;-(,2.0
Pretty disappointed in this frisbee as I have bought other Aerobie products and loved them. This was not heavy weight or made of a a durable plastic. Did not fly well and would not recommend buying unless it is for a small child.,2.0
"I've got an 80# lab that loves her frisbees. I've bought at least 10, here on Amazon, and here is what I've learned:
The BEST frisbee is the GUMABONE genuine Frisbee from the Nylabone folks - just make sure you get the one that looks like a frisbee, not the one with the bone molded in the top.

1. Gumabone frisbee (no molded bone): the best, flys well and darn near industructible. Does not float.
2. Gumabone frisbee with molede bone: poor flyer, but indestructible.
3. Nylabone frisbee (same as gumabone, but HARD NYLON): not recommended; flys well, but so hard it can knock out teeth.
4. Jawz disc: 9"" diameter, harder plastic, flys OK. This is one of my backups.
5. Vibram rubber disc: poor flyer but good as a tug toy.
6. Aerobie Superdisc: Flimsy, and flys poorly once dog bends it, and chews it up.
7. Aerobie Dogobie: Small, flimsy, poor flyer. Good for a smaller dog as a toy, or puppy training.
8. Genuine Frisbees, any size: best flyers, but <1hr. life span.",2.0
"I disagree with the other reviewers. This is a cheap child's toy. Buy a regular hard disc if you want to throw it far. It's too lightweight to get any real distance. It does have a nice soft border but that is probably the only thing going for it. Great for a dog, but no distance champion. Buy a cheaper Discraft or something in the 170-180 gram range if you want distance.
It wasn't worth the 12$ I paid for it at Academy.",2.0
"I saw other kids using something similar and thought we would give it a try for our 7 year old who is a soccer nut.  When we got it home it was pretty easy to put his ball in and learn how to use the waist strap.  He has a size 5 ball, but it will work on a size 4 also.  He immediately went outside and started playing around and fell in love with this.  He can kick, juggle, and punt with fun by himself and loves it.  The first thing we noticed is that the string is not a bungie type, but a cord type.  This is ok as with the length it has it can be kicked hard and not snap back, or it can be held and the ball can be used for juggling.  The issue we found right away is that it will twist up like an old phone cord and get shorter - so every so often you will have to unwind or untwist it.  The main 2 star issue that I have with this is that after a few hours (and a few days) some of the netting has broken from his kicks!  The netting cord is very thin - about a size of pencil lead.  It will not last.  I have seen other ones where the ball netting is like yarn thread which looks like it will last longer.  2-3 days, really?  He kicks hard, but really?  Still looking for a durable one.",2.0
Make sure you have water or a drink around when eating these. They really make you feel a bit nauseous too if you're not used to it. I remember getting lightheaded just because I hadn't had these in a while. They're yummy but you get sick of them really fast.,2.0
The description says 7 oz packages. I received all 0.7 oz packages. That's a HUGE difference!,2.0
it's not really like ice cream,2.0
Too sweet. Has a tiny taste of (artificial?) ice cream flavor but otherwise nothing like it. Feels like packaging popcorn fillers in mouth.,2.0
Don't expect the usual brick of astronaut ice cream. All were broken upon arrival.  I chose not to return them as they are still edible.,2.0
"My astronaut ice cream arrived in crumbs and not bars, I don't know if this is buyer specific but should be careful.",2.0
"Its ok not much more, used the items twice and already it has a small hole to be patched.  Forget about the battery pump, you will need to buy the electric pump if you don't want to wait 30 mins + for it to fill up.",2.0
"I purchased this mattress during the summer of 2008.  Very portable. Easily roles up into a small package.  Comes with a handy battery operated pump (which has lasted all year on the original 4 D batteries that I put in).  I love the way it deflates the bed.  Gets all the air out in about 2 minutes.

The problem with the bed is that it has a hard time keeping its shape.  The pump will blow it up so that it appears to be inflated, however, it will need about 15 to 20 additional blows with your lungs in order to bring it to an acceptable density (I like it a little softer).  Once you lay on the bed for more than 1 hr you notice that it starts to deflate a bit.  The first 5 times I used it only lost 10% to 15% of its air after sleeping on it for 8 hrs.  During my most recent camping trip it lost 100% of its air within 2 hrs.

I guess you get what you pay for.  At least I got a nice little pump out of it and about 5 uses out of the mattress for under $30.",2.0
"I've had 3 Coleman air beds.  They've all leaked so quickly, I would assume there was a hole and bought new ones.  I fill it at night for 1-2 guests, and then by morning, they're pretty much sleeping on the floor.  The fabric is fine and it inflates at a good time.  The bed is too big to fold into the black ""bag"" completely (like the way it comes when you first buy it).  Overall, I'm pretty disappointed because it doesn't keep air.",2.0
"It blew up this big beach ball-5'5"" tall just fine, and deflated it too. The pump is very loud, it's also large and a bit heavy at about 3lbs, something to consider if you want to pack/carry it very far.",2.0
"We were gifted this pump for our wedding just under two years ago. Have used it a handful of times, the last being in February of this year. When I went to fill up our air mattress in June, it was no longer working and would not charge. I contacted Coleman to see if there was some sort of warranty, but unfortunately it's only good for a year. I was told that the pump needs to be used ever 3-6 months to keep it working otherwise it will die?! Seems ridiculous. It worked well while we had it but it lasted less than two years. I'll be making a purchase with a different manufacturer this time.",2.0
I have had two of these pumps- they both stopped working within 2-3 years (each used approximately 4-6 times total to blow up air mattress for camping). Worked well while it lasted but I'm disappointed with how quickly they break.,2.0
"I bought this pump, December 23,  2016, to inflate a full size mattress. It worked fine and then the pump was used a few times until March 2017 when it was noticed that the battery wasn't recharging to full compacity. After a few minutes of use, pumped stopped working. Sometimes I had it on charger all day and it stopped working within seconds of turning it on. Now, June 2017, the pump won't charge and if it's connected to the power source, the motor grinds a little and then stops.  Normally, I would recommend using Colman because I have numerous Colman camping products. So until Colman fixes this product, I recommend another brand.",2.0
