Review,Rating
"The bad is fine but the saw doesn't throw much up into it, so if you are looking for a miracle cure-this isn't it.",2.0
"I don't know why anyone still uses these things.  Everyone owns a vacuum, and if the nozzle doesn't match up perfectly we all know how to use duct tape.

Some people get the bag to work; others have problems.  But in the end it's the guys with the vacuum hooked up to it that end up walking away with little or no cleanup!

If you lost it and are looking to replace it, forget it and go buy a new blade with the money you save.",2.0
"For the price this is a rip off. First, the ""thin kerf"" is five thou thicker and a comparable dealt blade, but I knew that going in and banked on the ""legendary"" clean cuts that are touted on the internet. Second, my first cut after installing: burned wood. I figured there might be some shmew do I did a couple more and kept getting the same result. My conclusion is this blade is not a horrible blade but is definitely mostly hype. Returning.",2.0
"The step-down adapter co-marketed on amazon as  ""frequently bought together"" DOES NOT FIT. I have been scouring the web to find a way to attach my shop vac hose to this gizmo, .so I cannot rate this yet because I haven't been able to try it.",2.0
I found this to be flimsy and impractical. I sent it back immediately.,2.0
"I recently bought the PC97529 2hp router, and unfortunaltly found it to be a poster child for what seems to be a wide spread problem with new PC products.  I found this router to be over hyped and under powered. I am a profesional carpenter rely on my routers. PC has always been the standard for a rugged,reliable and well engineered router.  This router stalled out constantly on a project that it should have breezed through (rabbeting MDF) the trigger and saftey were stiff and awkward, the depth adjustment aggravatingly tedius and the dust shield a chincy prop designed to woo us with its appearance and not actually survive.  My router actually died after 2weeks.  This is the second PC router I have had fail on me this year.  The life of both was less than what I would expect for a craftsmen. My sense from this eperience and other recent eperiences with other PC tools is that PC is targeting hobbyists and empasizing packaging over quality this is forcing me into the arms of DEWALT and BOSCH.",2.0
"A good router with reasonably smooth plunging action, but with a few  problems that led me to trade it in for a Dewalt 625.  The depth  measurement rod/device is awkward and not as well designed as I would have  expected.  The overall power was much less than my old Sears 1 1/2HP  router; the P-C was practically stalling out in routing oak, where the  Sears was not hesitating.  The collets and the edge guide did work well,  the kit and case is quite nice, and my shop vac plugged into the dust port  with just minor adjustments.",2.0
"At face value this seems to be a very nice router but, upon closer inspection, the design has serious flaws.  First the base seems to be too thin of a casting as you can feel it bend if you put side pressure on it.  Base stiffness is critical for precise plunging. This unwanted flexibility  may be due to the dust extraction tunnels cast into the base.  Secondly the  plunge is not nearly as smooth or precise as the DeWalt 621 as there is a  lot of slop between the rods and their linear bearings. Third the plunge  lock works opposite to the way that it should.  Plunge locks should be  normally off and applied to lock.  This, as with all PC plunge routers, is  normally on and worked to release.  This is much harder to use when  mortising than the lock down method used on the DeWalt 625 and on Hitachi's  and Makita's large plungers. A minor point is that the plastic chip shield  is a joke as it falls off easily.  On both the DW621 and this PC turning  the router on and off requires a finger dance with the PC's being slightly  easier.  What's wrong with a simple trigger switch without all of the  clusmy, and in my opinion vastly more unsafe, so called safety switches?  Spindle locks are not a feature as is claimed as when the collet releases  you have a good chance of damaging the rods.  PC did a nice job of giving  you the option of using two wrenches which is a better way to chuck and  unchuck the bit without damaging the rods. Nice handles which is a plus.  This could have been a great router like the DeWalt 625. Instead it's  simply an acceptable one.",2.0
"I purchased this blade about 12 months back and was thrilled with it for about one month.  It cut through maple and cherry (up to 2"" thick) ""like butter.""  And then it was dull and prone to all the trials and tribulations of dull blades (kick-back, etc.).  When it was brand new it cut better than any blade I have owned but at the price it should!  At the price, it should also have retained its edge for a lot longer (I've had really cheap (Skil 10"") and mid-priced (Hitachi, et al) blades last MUCH longer and some even started off almost as sharp).

Again, for one month of 6 day a week use it was GREAT but it dulled much too quickly - regardless of the price (and yes, I did clean and treat the blade at the end of each day).  So, whyh pay the price unless it comes with free sharpening and a loner blade for the time it spends ""away"" every four or five weeks.

If the blade cost $50.00 I would rate it 3 to 3.5 stars.",2.0
will not work for this project but may use later.,2.0
To upright.  Should have a 45 elbow coming off it.  Has to be exactly flat on the floor to even work half way decent and even then its below average.,2.0
"The 4"" connection is at right angles to the floor and should be angled.  Holding and using the sweep is ackward.",2.0
"Solid plastic, not durable.",2.0
"Disappointing!  Be aware the 4""end is 4 inches so it doesn't fit inside or outside of the 4"" dust ports on your machines.",2.0
"I could not believe that the PC teck said that plunge routers all have play in the shaft. The right side has such play that you can tilt the router base by applying pressure to one side even when locked and he said this is normal! I have a RE600 Ryobi that is solid in all positions.  I tested the DeWalt621 and with one post it was solid.  The depth adjustment is also very hard to set, you have to turn it many revolutions to get it to adjust. The dust shield falls off easily. I returned it after one day.",2.0
"Porter Cable has a design flaw with the trigger locking switch.  To use this in a router table, your must lock the trigger on and use a switch located on top of the router to turn it on.  The problem is the switch lock breaks easily and the router will not function properly.  I found this out the first time I used it in my table and sent it away to be fixed.  After the fix, the repair lasted 20 minutes.  I am now looking for another router to use in my table.  I will only use the 7529 for hand held applications where I constantly hold down the trigger myself.  Porter Cable should have a recall on this. I am not the only person with this problem.  I posted my problem on a tool chat room and other woodworkers shared the same story.  If you want to use this router for a router table, get another router.  Save yourself the trouble.",2.0
These blast gates clog and are difficult to clean.  After trying to get used to them they're going to be given away.  I hate these gates.  They suck.,2.0
"These gates clog often for me.  Since the blast door is contained, chips get jammed into the slot and they keep the door from closing completely.  Since these doors cannot be disassembled, they are difficult to clean.",2.0
"Yes it may be 4""s, however if the dust spout your hooking it up to is 4""s? the circumference is actually larger, therefore this won't work. Take a measurement before ordering this..",2.0
do not apply too much pressure as the hook and loop pads are nylon.  if you press too hard you end up melting the hooks.,2.0
"I have a fein mutimaster that is 15 years old and for certain jobs cant be beat but the pad is really pathetic. I just purchased some new pads,installed it,installed  coarse grit sandpaper to avoid the dreaded heat build up and used it roughly 30 seconds then went to switch grits and as I was pulling the sandpaper off it pulled the velcro off along with the sandpaper. COME ON FEIN!!!!!!!!!",2.0
"These are nicely made plastic gates but require a lot of maintenance, because they clog up and wear out quickly.
I ended up throwing all my 15 blast gates away and replaced them with non-clogging Aluminum bast gates, Problem solved.
If you just have a couple machines, and don't care to spend time cleaning them, this may be the gate for you.
But blast gates are mostly used in a several machine set up, and for that I cannot recommend this product.",2.0
"It is difficult to comprehend Fein providing sanding pads and paper which are so useless.  I have had the sandpaper/pads melt in sanding just a 3/4"" X 2"" area.  Both the felt on the paper and the Velcro on the pad melted.  I went through 20 sheets of paper to sand a close-quartered area.  Whereas my B & D Megamouse did a 4-foot X 4-foot area with just one sheet.  Both on the same project.",2.0
"The velcrow pad overheats on the corners and outer edges. This process allows for rapid decay of the remainder of the pad.

The sand paper backing is to often of poor quality also.",2.0
This gate valve gets sawdust and wood chips stuck in the slide area and then the valve cannot be opened/closed.  It needs to be redesigned.,2.0
not  the size,2.0
just a little off on the small side... but that's why they make duct tape I guess?,2.0
"I bought the adapter with the Big Gulp dust collector.
I expected this adapter to plug into the big Gulp.  No joy.
Output tube on Big Gulp is 4 inch. Adapter is also 4 inch.
Gorilla tape I guess....",2.0
"Bought and installed these when setting up dust collection in my woodshop.  Huge problem with these is that they trap sawdust and particles in the slot that the gate travels in.  The only way to clean out the slot is to remove the hose connected to it and use some type of wire to scrape out the debris.  I am considering cutting off the bottom of these so that the debris will fall out of the bottom and use tape to ""re-close"" them when in use.",2.0
"To avoid the clogging issue... I mounted mind horizontal... with a 4 in to 2 1/2 in reduced for a shop vac connection.  I was disconnecting a hose and down came the blast-gate and the reducer.  The gate split right in half... sharp end getting me right above my left eye... deep gash.  Doc said I was lucky... it could have taken out my eye!

So... what now?  Bloody head fixed... what to do with this broken gate...Well... since this is a design issue... a weak blast ""weld"" holding it together... I HIGHLY recommend that anyone using this as an end piece (not inline between twp pipes) you HAVE to reinforce the gate. I added foil tape to seal it on all three sides of the seem.  Then reinforced it with duct tape.  This is a cheap piece of plastic that WILL break apart on you if not inline between two pipes.

Before this happens to you...Stop what you are doing and go reinforce them right now!  Even if it seems solid now... it WILL break on you at some point.",2.0
"I followed T.S.'s advice and bought the competing product. It was a little tricky to find, because it's actually called the CleanStream filter, by Gore. It really does fit beautifully.",2.0
"When I bought my table saw (PowerMatic) this is what showed up under ""People who purchased this also purchased this item"".....so without reading any of the reviews I bought it.......problem is ...it doesn't even come close to fitting the flange on my saw. It fits the vacuum hose just fine.
Thanks to duct tape...problem solved. Not exactly what I wanted...but I got it to do what it's supposed to do. I don't know where the fault lies but PowerMatic and Woodstock should get together on this ........but then duct tape sales might plummet.  : )  Good luck!",2.0
"On the positive side these are inexpensive, but on the negative side you get what you pay for.  I ordered 3.  They are simply two plastic plates with sliding plastic plate between.  Unfortunately on two of the three I think the Chinese were running out of glue the day the made two of the 3. The two plates which were suppose to be glued together were not and the two plates immediately separated.  Looks likes they used a drop of glue the size of a dime.  I was able to fix by gluing together with PVC cement.  So in the end they work fine, with some assembly required.",2.0
ok,2.0
doesn't fit needs a coupling,2.0
wrong size...,2.0
"I gave 2 stars because they didn't fit around my dust collector's 4"" y adapter, they were the same exact size.",2.0
Size of unit was not what I expected from the description. Doesn't work for what I wanted to use it for.,2.0
as expected,2.0
"I got his router to mount under a table for making doors. Not good for this appilcation at all. Bits are hard to change while base is mounted to table, and it didn't seem to have the power it said it had. Only lasted about 6 mons and then croaked. I replaced it with a Porter Cable. Should have gotten one of those in the first place......",2.0
"I gave this only 2 stars because the 4"" end did not fit on my table saw. It is the same diameter as the port on the bottom of my saw.
I don`t know if all saws are the same, but it did not work for my ridgid. I tried an adapter, but that brought it down too low for my adjustable wheels to work.  I ended up cutting it down.  "" WHERE THERE`S A WILL, THERE`S A WAY """,2.0
