Review,Rating
"Some parts were broken, had to return and send for a replacement",2.0
"I have sent an email to Discount Wheel Covers (where the mahjong sets came from) and have received no response.  In one of the mahjong sets, one of the pushers was broken, in fact the two pieces of the pusher were wrapped separately.  I have tried to glue it together, but it will not hold.",2.0
"I got a really cheap knock-off of a real pokemon center plush. the quality is terrible, though I do admit that there doesn't seem to be any stitching issues. The material feels super cheap, the tag is totally wrong and is on the bottom of the plush; even says made in China on the back! It isn't very well stuffed, and most definitely won't stand on it's own. I'm thinking it might be the place I ordered it from. I'm debating whether to put up with long waiting times and return it, or to just suck it up. Quite disappointed in the quality.

EDIT: Although I did not appreciate the low quality, I was able to contact the seller and they refunded me in full. They were pleasant to deal with, so I added another star. Though, it should be noted that the responses I got from the seller was very kind and understanding, and that kind of service is 5-star. I didn't even have to go through the hassle of sending the doll back, either. So, if you find that you may have gotten a low quality doll, please try contacting the seller first. It may be a more pleasant experience than being disappointed at the product.",2.0
"So after purchasing my glaceon plush, which was wonderful and in great condition, I thought I'd buy this espeon. I was super excited when it came in the mail, but when I opened it and examined it more thoroughly, one ear is longer than the other and the other is more rounded. The back of the head was sewn oddly and it has a butt-like shape to it. I thought it was legitimate until I compared the tags of the espeon to the glaceon, and the tags are clearly different, but they both came attached with the official pokemon center detachable tags. The espeon one here had a bad typo. ""Pokemon Ine."" ....""Ine"" they clearly meant inc.
Now I do have to say that they nearly got me, and I almost accepted the ""Oh this must be a bad copy of the rest"" until I realized otherwise.
Also the threads on the nose are a little loose.
Pretty unhappy with this purchase.
3/10",2.0
"The picture looks a little bit like it, but it's lays flat on a table. It cannot stand as shown in the picture. It's like a hand held doll only.",2.0
"The poor thing has no chin/neck, and oversized back hindquarters. It's just poorly designed overall. The plush is really soft and the colors are pretty great, but shape-wise it's lacking. The 2010 variant (this one is 2011) looks far more promising. I wanted this for my display rather than to be played, so the ugly head and face shape is unappealing for that purpose.",2.0
Looks like something my kid fishes out of the crain machines at an arcade or the consolation stuffed animal you win at a fair. I was expecting at least average quality.,2.0
"The plushie I received was not as good quality as the plushie in the product photo. It had loose strings, a blackened eye, and was lopsided and couldn't stand up straight.",2.0
"I will start off by saying that, the reason this is not a verified purchase from me, if it says that, is that it was given to me as a friend, and purchased off of my wish list.

THIS IS NOT AN OFFICIAL POKEMON PLUSH!!! I knew this originally, being that it was so cheap, but not everyone is so wise. It has no tags, and is made very poorly.

There is a reason this plush is less than $10. The craftsmanship leaves much to be desired. It does not stand up on its own, the seams were slightly pulled apart in the front (and unfinished on the neck) when I got it, and the head is extremely floppy. The dark blue spots on the side that you can see in the picture, on my product, are almost half covered by the yellow belly, which just shows haphazard workmanship and a lack of care for the product in general. The ears/horns are pretty odd looking- she looks more like the Dovahkiin than Lapras. The face is also really crooked, not quite as cute as it is in the picture.

The plush was also squished- yes, literally squished- into a box that was much, /much/ too small for it. Probably about 3 inches long and 1-2 inches tall. The plush is roughly 6 inches by 6 inches, so... Yeah. Forcibly crushing an item down to more than half the size it's supposed to be is going to cause it to get a little messed up in shipping. I assume that may be why the head is so unstable, but nonetheless- not great treatment of an item.

The item was ordered for me on June 5th, and it got to me on June 23rd. So about 2 1/2 weeks later, which I think is reasonable from a plush coming from Asia. Again, I just wish it would have been packaged with more care.

The material is soft, but that's really all the praise I have to say about this.

If you're getting it for a child, I'm sure they would love this all the same- but I'm an adult, and I like my plush toys to have a little bit of quality to them. Me giving this a 2/10 it being extremely generous.

Again! You get what you pay for.",2.0
Kept crashing and didn't work like it was supposed to.,2.0
