Review,Rating
"If you fell in love with Final Fantasy VII, like I did, and are so hungry for more that you are considering this game, I beg of you, don't do it. It is nothing like the aforementioned masterpiece. The story was slow to get going, which I was sympathetic to, since it was like that in FF VII too, but after hours it was still lame. For one thing, you have a ""military ranking"", and it goes down when you explore the towns! I mean come on, the whole point of an RPG is exploring! But that is not the worst part. The magic system has been redone, and it's HORRIBLE. Instead of the product-of-genius Materia system in FF VII, they have the ""draw system"". You have to collect magic spells, and use them, like petty items! This is, by far, the worst idea ever.

 And then there were the characters. After falling under the spell of Cloud, Aeris, Sephiroth and all the rest, I felt like hiding under my blankets and sobbing after meeting Squall, Rinoa and the other lame characters. Their dialogue is lifeless and cheesy, and I didn't feel attached to them at all.

Although it's a small complaint, I must mention the graphics. The cutscenes are amazing and far better than FF VII's, but everything else is awful. The blocky, toon-like models of FF VII have been tossed out, replaced by characters that try to shove in the detail of real humans in tiny little models. The result? Stiffly animated, bland graphics.

Overall, do not buy this game. Buy Tales of Symphonia, Chrono Cross...anything. Please, do not waste your money. These are the parting words of a weeping gamer. Thank you.",2.0
"as you might have heard, this game was downright terrible. the only thing that kept me going was the story. in my personal opinion, the story is very exceptional and the many months of work they put into it paid off. before starting, i would like to comment that i was very excited to get this game after the two-in-a-row masterpieces final fantasy 6 and 7, and for the fact that it was created by squaresoft, but i was extremely disappointed after about one hour of gameplay. now onto the review...
STORY: 9/10
as you have most likely heard, people say that this storyline is based on the theme of love, when in many people's opinion (my own included), this game is anything BUT love. the only thing close to love that happens is **SPOILER**rinoa and squall kiss at the ending**END SPOILER**
which really isn't all that loveable in my opinion.
similar to final fantasy VII, the setting is in the future (irritating downside, as insanely advanced technology is not that fantasy-like), but this is a mediocre downside of the game
The story goes pretty much like this: an evil sorceress is on the verge of enslavement of the world and a resistance to defeat this woman called Garden trains military soldiers called SeeDs to battle against her and her troops. pretty lame sounding, as seed and garden are really actually one of those ideas that a first grader could come up with in about 5 minutes, but the story actually picks up at about disk three (yes it is pretty slow).
SOUND AND MUSIC 6.5/10
the sound is really quite good in this game. squall's sword slashes when hitting a target, quistis's whip cracks when snapping at a target, and Zell's mighty fists make smacking noises when hitting a target.
such as final fantasy VII, the music in here is not that well conceived and memorable such as the earlier final fantasys. the boss music is sort of catchy (once again such as final fantasy VII), but the rest of the music is rather annoying.
GAMEPLAY 2/10
the single thing that totally MAULS this game is the gameplay. the battling is terribly tedious, and the magic system is completely raped of its glory. instead of learning magic abilities, now you waste time ""drawing"" magic from enemies. another terrible mistake squaresoft made while making this game.
a new addition to the gameplay is the Guardian Forces (GF) which are pretty much summons just in a stupid term. these guardian forces are pretty much the only thing that will keep you alive in this game, as you need them to enhance health, strength, and so on, which i will get to in a moment. the guardian forces are the main attack force, and with these forces there is barely any need for the ""attack"" command (other than Zell's Duel limit break). The animations for guardian forces are well animated, but EXTREMELY long and tedious.
Limit breaks are the only other useful thing in this game, but unfortunately, they can only be accessed when you are in life-threatening situation, completely aboliting the well-conceived limit break bar.
MENUS AND PUT-TOGETHERS 1/10
this is terribly time-consuming and irritating. the menu is where i spent most of my time on this game. gladly, squaresoft got rid of the horrid materia system and added on the god-how-could-this-get-any-worse junction system. this system takes about a half of an hour just to understand, and then you spend even more precious hours of your life drawing magic upgrading it so a boss cannot kill you in just one blow. for example, you have to spend about an hour drawing 100 lifes from an enemy just so you can raise your health a couple thousand points.
then after this boring proccess you must draw 100 Tornados in order to raise your attack power (I am almost completely CERTAIN this process is required to defeat the final boss)
The second complete worst part of this game is the following: THERE IS NO LONGER AN EQUIP OPTION! what happened to equipping weapons and armor? there is a way to upgrade your weapon, but that consumes serious time and involves ridiculous side-quests that are extremely boring. don't even bother going through the stress of completing these quests
a ridiculous thing they did in this game is that the characters level up with you, so you can finish the game at level 8 or so (as leveling up is not necessary and bosses give you NO experience points{I completed it at level 7 or 8})
GRAPHICS 9.5/10
The best part of the game, the graphics. The FMV scenes are superior to every other graphics i have EVER seen in my entire life-span (yes including ps2 graphics), and even during gameplay the graphics are superior (during gameplay they are worse than ps2 graphics i might add), and the only flaw in them is the pixelations, as the characters look a bit fuzzy. but that problem is solved in FFIX.
You remember the disgustingly distorted characters in FFVII? well, thank god, they are replaced with actual human-like figures that look like HUMANS at last. no more stubby oversized arms and legs with huge heads that remind me of cartoons.
there is only one thing i love about this game, and it is the ending. as i said before, the story is VERY good and is the only reason that i gave it 2 stars instead of 1. the ending is EXTREMELY good (not as good as FFVI's though) and made me feel good.
REPLAY VALUE: 0/10
as many other people have done, as soon as i finished wasting my time playing this game and finally destroyed the final boss i took out the disk from my playstation, placed it in its case, placed in on a shelf behind my other cds, and it has not been touched ever since. this game was terrible, and i wish i had my 30 hours of gameplay back. i say instead of even thinking of buying this game, look for final fantasy anthology and final fantasy 6 instead.",2.0
"Let's just get one thing out of the way, the battle system in this game is bad. Very bad. There are much too many random battles, a lot of the time you're ""drawing"" magic from enemies (a HORRIBLE idea on square's part, it makes no sense and is extremely tedious) both to use and EQUIP it to your characters. Since the power of your equipped magic is based in the number you have, and all of your enemies have an unlimited number of the magics they're able to carry, you spend a LOT (a WHOLE lot, HOURS) of time just hitting that draw button and selecting which magic to get from them. Yeah, not fun, at all. Both the equipment and magic systems are bad. The new focus on summoned monsters as equippable characters which level up and gain skills to boost your character, such as strength upgrades or upgrades to themselves which boost their damage or HP, is really not fun at all, since there's zero strategy involved. You just level up and decide which skill they'll learn after enough battles. I easily blew through the first half of this game, killing bosses in a ludicrously low number of hits. I couldn't stand the second half, it was just more of the same, and the story line became very, very stupid. A select few will actually like this sappy love story mixed with something about a summoner going to destroy the world and some other junk that I just didn't care about. The love story was actually the best part, and the rest felt like a filler. There really isn't anything to praise about this game that separates it from previous Final Fantasy games. A sub-par RPG.",2.0
"Final Fantasy 7 and 9 are wonderful examples of how an essentially linear game can be manipulated and changed into something epic and enthralling, thanks to excellent characterisation and plot. Final Fantasy 8 (and, oddly enough, FF 10) are wonderful examples of how to bore people silly while forcing them to sit through some nice-looking battles.
For those gamers who, like me, need to like a character in order to fully appreciate the game's plot, let me say this: Squall is a moody, horrible, angst-ridden Phallocrat. His supporting cast are forgettable, with the exceptions of the consummately annoying Zell Dincht and the ridiculously feeble Rinoa Heartilly. The characters in FF 8 have none of the appeal of Cloud et al from FF 7, or Zidane and the lovable half-breeds from FF 9.
For gamers who don't consider this to be so important, FF 8 still manages to nicely ruin the Final Fantasy reputation by being one of the most boring and unrewarding games in the series. Battles are innumerable and completely random, and fall into 2 categories: extremely easy and unfairly difficult. Case in point; you face Seifer's two main flunkies early on in the game, by which stage your levels are too high to build up quickly on the feeble monsters available in the college & the surrounding areas, and too low to beat these henchmen without massive amounts of luck. The result? You end up running about doing frustrating battle with low-level wildebeests for hours, and the game becomes very, very boring.
The graphics are shamefully poorly-thought out. The pre-rendered backdrops for some of the major levels (Balamb Garden, Edea's House) are bland, and have none of the charm of the cityscapes of FF 7 or the magical countryside vistas of FF 9. The character models are far too complex, and look pixellated and rough at almost all angles. Polygon pop-up didn't die out with the Sega Saturn; it's alive and well and working for Squaresoft. The pre-renders, however, are amazing, approaching the quality of early PS 2 titles in their scale and realism.
The sound is run-of-the-mill poor PlayStation fare, but the music is decent enough. Better, too, is the Magic system, where, instead of spending hours confusing yourself with Materia, you now Junction Elementals and spells. Sadly, the game relies less on Magic and more on difficult Limit Break techniques and expensive items, so this really isn't a huge plus until late in the game.
All in all, FF 8 is a VERY disappointing game, lacking the freedom of exploration of FF 7 and 9. It's a game on wheels, which isn't a bad thing in itself, but when the plot and characters are so forgettable, it becomes a major problem. Steer clear.",2.0
"And, unfortunately, those words have rarely been more true than with this game.  While the graphics are incredible, the music good, and the story - on the surface - interesting, the game suffers from a few weak points.
Primarily, the three lead characters (all of whom are playable, if only for a brief time) are insufferably annoying.  One of them is desperately in need of heavy-duty therapy (or just pulling his head out of his self-pity), his rival (only playable for a short time) is arrogant, and their shared love interest, while at first just a little ditzy, is definitely not a very nice person, when you stop and think about what she does in the game.
As a secondary concern, having played all the FF games, I have to say that this is not the best story of the bunch.  Or the best game, for that matter.  SquareSoft would have been *much* better off focusing on their 'save the world' plot in FF8, rather than the love story (which would have been better used in FF7, frankly).  For a better example of a good SquareSoft game, go for FF9, or even FFX.  Both of which feature a focal love story that's actually fairly well done, as well as the more standard 'save the world' plot Final Fantasy is known for.",2.0
"After I had beaten Final Fantasy VIII, I couldn't wait to try the next game. When I started the game, the beginning movie was cool, but when it came to the actual gameplay, it was not worth what little I payed for it. The graphics are worse than the last game, and you can barely see the figures. The plot doesn't make much sense, and it makes the game not even worth playing. The battle and menu system is so complicated, that the tutorials will make you fall asleep. What I'm wondering is how this game can have absolutely no meaning to it while thae last one was kick-butt. If you don't believe me, try the game yourself (for your own sake, rent it).",2.0
"Well, I wish I could play some of these levels! Sometimes, that's made impossible because they're so dark. I wish it would save my game, too, but it never has. There are patches available for bigger mistakes on their site. I would give anything not to watch those grating cutscenes again and again. The voices are all quite annoying and stilted, though you get the sense the Eidos guys thought the old man at the beginning might have been - he gets tiresome immediately (my child this, my child that, this is how you jump -WAIT!- this is how you jump). Lara is still a bimbo character and it's insulting to both genders, a cynical view of the audience (I wish she would stop breathing heavily!). The controls are difficult. The puzzle elements are still worthwhile, though they are a poor man's Zelda. The 16 year-old Lara was unnecessary, when she gets her backpack we're supposed to care. The likelyhood of her and the old man being in these Cambodian ruins in the daytime and running through it like a preschool adventure playset is small. They seem to toss old TR elements like climbing vines and throwing levers in all the wrong places, these elements are repeated, and there seems to be little real joy in all of it, like they toss the elements out until the game ends. The level designs are unlogical, they detract from the realism that the games used to have and added so much to it. That's why you are bothered when you die from a giant spinning spike wheel that magically floats, not because it's hard, but because you just don't believe things like that are there, it's as though the game breaks it's own rules. I feel like the levels could all have gone a lot further if they just did some heavy internet research on the areas available to play (Egypt has stars and spikes?). Overall, I feel this game was well worth my [money], but the series needs to improve or it will surely die. Undoubtedly, the first Two TR games were the best, they need to return to that, these new games feel like a...commercial spectacle. What I enjoy most about the series is the realism that there can sometimes be, and the puzzles, but mostly the scenery and locales, the action is just the backdrop to me. Buy the first 2 games before thinking about getting this.",2.0
"Tomb Raider: The Last Revelation is the fourth Lara Croft adventure game based entirely in Egypt. A very long and challenging game built on a nice engine with great graphics, Neat animations and neat sound effects. Good storyline and great gameplay with infinite saves. Awesome lighting effects and a creepy atmosphere. Great puzzles but a lot of annoying false paths. Very challenging gameplay but can be too challenging at times because no difficuly option. Good level design with a helpfull training level, But the hub level layout is very confusing and easy to get lost. A Lot of fun doing all the jumping but the controls are as usual very badly done, Auto aim is not perfect and the manual aiming is impossible. Enemy AI is super dumb. Tomb Raider Last Revelation well deserves 4 stars but i will give it only 2 because it does not have good key controls and a difficulty option.",2.0
"This game is way, way, way too easy because your summons kill everything in one hit.  Plus they take forever to attack, making the battles extremely long!! The graphics are great and the card game is really fun but the meat of the game, the battles, are way too long and boring.",2.0
"I got this game last year and I have only just completed it. In a technical sense, this is indeed better than the other TR games. But I do feel that it is a victim of it's own realisticness. It starts off brilliant and great to play. Especialy the moving train effect. But once you get to the 'City of the Dead' things go downhill. I mean it gets so dark that even with the monitor on full brightness and the house lights out, you still have to lightflares to see whats what. There are also not enough flares to get around with either. Sure this would be the situation in real life, but in real life you have the advantage of 3D vision to guide you. Not in a game.  Not only that, but the levels get boring towards the end aswell. It seems stupid that game programmers would spend out on high-tech graphics and creative innovations and then blanket them with an over abundance of darkness.  Apart from that though. The sound is brilliant. The movies realy fit in well. Lara looks better and (if you can see them) the graphics are great too.",2.0
