the,5106
and,3303
a,2689
to,2680
I,2303
of,2209
is,2058
game,1845
it,1594
you,1567
this,1522
in,1255
for,1140
that,1026
was,851
are,826
The,803
have,770
with,740
my,637
as,627
but,627
on,619
all,560
This,525
one,520
so,490
games,441
can,438
great,435
like,429
just,405
be,405
get,392
not,386
has,370
play,362
It,358
from,343
game.,338
best,338
or,335
i,322
your,321
an,315
more,308
very,303
if,301
good,300
at,298
when,296
out,293
it.,291
still,281
will,278
they,276
played,258
first,250
time,247
really,247
about,242
it's,241
no,236
had,234
than,232
up,230
even,223
what,216
graphics,216
much,215
love,215
some,212
me,210
there,207
"game,",206
by,200
would,198
fun,197
works,195
its,195
only,195
playing,191
If,187
many,181
don't,180
also,177
ever,177
which,177
other,174
because,173
find,170
who,166
any,164
got,163
You,162
most,161
do,160
into,158
were,152
-,150
back,149
how,142
new,142
then,138
them,134
old,129
well,128
2,128
characters,128
It's,126
little,125
story,125
lot,123
go,123
through,123
where,123
never,122
Great,122
been,122
these,121
better,118
over,118
came,116
I've,116
could,116
N64,116
different,115
years,114
There,113
buy,112
But,112
make,112
after,112
think,111
every,110
Tomb,107
memory,106
now,106
their,106
favorite,103
say,102
made,102
video,102
recommend,101
way,99
music,99
each,97
people,96
And,96
want,95
pretty,94
Raider,93
those,92
few,91
bought,90
A,90
we,89
I'm,89
"it,",89
must,89
level,89
need,87
games.,87
My,87
he,85
time.,85
know,84
too,84
used,84
classic,84
use,83
his,83
being,83
In,83
great.,81
while,81
easy,80
should,79
levels,79
card,78
thing,78
enough,78
worked,77
3,77
off,77
long,76
her,76
makes,76
Works,75
amazing,74
does,73
work,73
things,73
adventure,73
without,72
So,71
far,71
can't,71
you're,71
hard,71
beat,71
since,70
product,69
around,69
gameplay,68
always,68
see,68
world,68
am,67
original,67
Final,67
THE,67
own,67
hours,66
may,66
"games,",66
They,66
give,66
such,66
you'll,66
did,65
awesome,65
before,65
didn't,65
going,65
One,64
character,64
two,63
look,63
take,63
perfect,63
Nintendo,63
Mario,63
happy,62
worth,62
cool,62
64,61
system,61
save,60
keep,60
same,60
Fantasy,59
another,59
right,59
she,59
down,59
feel,58
haven't,58
though,58
again,57
almost,57
found,56
controls,55
getting,54
bad,54
everything,53
loved,53
Game,53
definitely,52
looking,52
actually,52
well.,52
bit,52
5,52
fighting,52
&,52
price,51
arrived,51
come,51
fun.,51
anyone,50
once,50
here,49
quite,49
won't,49
day,49
When,49
PS2,48
times,48
takes,48
probably,48
able,48
game!,48
As,47
nice,47
For,47
whole,47
condition,47
isn't,47
using,46
No,46
10,46
you.,46
sound,46
learn,46
Goldeneye,46
said,45
fan,45
took,45
player,45
puzzles,45
Zelda,45
problems,44
All,44
last,44
good.,44
1,44
doesn't,44
series,44
again.,43
Very,43
thought,43
place,43
next,43
it!,43
put,43
controller,43
greatest,43
Lara,43
Banjo,43
"time,",42
part,42
4,42
battle,42
.,41
Super,41
year,41
absolutely,41
one.,41
gets,41
me.,41
plot,41
Not,40
having,40
yet,40
remember,40
weapons,40
storyline,40
THIS,40
Bond,40
Thank,39
several,39
that's,39
played.,39
this.,39
three,39
play.,39
friends,39
item,38
sure,38
top,38
multiplayer,38
missions,38
version,38
RPG,38
start,38
007,38
fast,37
needed,37
Now,37
single,37
perfectly,36
something,36
wanted,36
them.,36
What,36
started,36
until,36
highly,36
3D,36
great!,35
our,35
might,35
gaming,35
along,35
trying,35
between,35
He,34
Just,34
run,34
anything,34
We,34
lots,34
help,34
"this,",34
let,34
"characters,",34
perfectly.,33
huge,33
moves,33
ever.,33
try,33
excellent,33
move,33
Even,33
both,33
set,33
control,33
charger,33
action,33
"graphics,",33
true,33
James,33
enemies,33
working,32
exactly,32
nothing,32
person,32
After,32
I'd,32
older,32
simple,32
Some,32
later,32
certain,32
"story,",32
aren't,32
realy,32
problem,31
:),31
u,31
"great,",31
Thanks,31
end,31
big,31
Of,31
7,31
computer,31
Tekken,31
fine,30
life,30
extremely,30
kind,30
couple,30
reason,30
comes,30
condition.,30
days,30
everyone,30
pick,30
"music,",30
Rogue,30
especially,30
Kazooie,30
loves,29
order,29
why,29
wasn't,29
gamer,29
couldn't,29
based,29
"However,",29
With,29
too.,29
final,29
difficulty,29
Star,29
world.,29
movie,29
Playstation,28
experience,28
seen,28
IS,28
else,28
stop,28
6,28
choose,28
all.,28
While,28
Street,28
challenging,28
main,28
collect,28
series.,28
ordered,27
items,27
second,27
seem,27
Also,27
more.,27
kid,27
least,27
done,27
copy,27
FPS,27
N64.,27
Love,26
buying,26
Best,26
tell,26
"me,",26
wonderful,26
Its,26
away,26
memories,26
son,25
plenty,25
Good,25
I'll,25
plays,25
difficult,25
Buy,25
witch,25
yourself,25
finally,25
enjoy,25
there.,25
within,25
mode,25
product.,24
making,24
already,24
(and,24
quickly,24
wait,24
super,24
"good,",24
switch,24
cables,24
gamecube,24
went,24
change,24
enjoyed,24
style,24
GAME,24
believe,24
Grim,24
us,23
out.,23
extra,23
playstation,23
full,23
Then,23
spend,23
real,23
either,23
That,23
lost,23
kids,23
someone,23
goes,23
sit,23
replay,23
Fighter,23
fight,23
hit,23
YOU,23
you've,23
"fun,",23
cards,22
",",22
fine.,22
received,22
is.,22
TO,22
"all,",22
+,22
they're,22
looks,22
"world,",22
characters.,22
sometimes,22
truly,22
dark,22
there's,22
named,22
"storyline,",22
n64,22
released,22
strategy,22
Wars,22
job,21
ones,21
thank,21
seems,21
"you,",21
decided,21
less,21
etc.,21
These,21
simply,21
"well,",21
months,21
TV,21
now.,21
course,21
close,21
together,21
shoot,21
brings,21
fact,21
graphics.,21
case,21
special,21
kill,21
complete,21
shooting,21
amazing.,21
64.,21
FF,21
"one,",20
totally,20
card.,20
thats,20
room,20
open,20
kept,20
to.,20
longer,20
compared,20
stuff,20
multiple,20
recently,20
including,20
up.,20
cords,20
(I,20
Wii,20
"Well,",20
called,20
side,20
sister,20
wish,20
"series,",20
him,20
enemy,20
areas,20
newer,20
cartridge,20
ps2,19
space,19
quality,19
due,19
Everything,19
amount,19
glad,19
past,19
system.,19
To,19
screen,19
doing,19
AND,19
described.,19
She,19
turn,19
high,19
Perfect,19
easily,19
fantastic,19
There's,19
friend,19
line,19
childhood,19
variety,19
combat,19
mean,19
young,19
"that,",19
sequel,19
From,19
worlds,19
Rare,19
five,18
purchase,18
Amazon,18
gave,18
quick,18
alot,18
At,18
Got,18
shipped,18
Like,18
Once,18
power,18
times.,18
console,18
age,18
mission,18
Awesome,18
add,18
under,18
"Also,",18
"now,",18
ago,18
actual,18
"is,",18
You'll,18
effects,18
point,18
"Overall,",18
man,18
explore,18
although,18
matter,18
coming,18
spent,18
beautiful,18
evil,18
finished,18
Ocarina,18
myself,18
day.,18
"levels,",18
Every,18
made.,18
Unreal,18
Red,18
Manny,18
shooter,18
Banjo-Kazooie,18
notes,18
price.,17
early,17
saves,17
value,17
enjoyable,17
deal,17
stars,17
annoying,17
purchased,17
Another,17
brand,17
systems,17
OF,17
heard,17
school,17
"out,",17
keeps,17
way.,17
Kart,17
though.,17
means,17
four,17
"though,",17
music.,17
interesting,17
Each,17
kid.,17
