Review,Rating
"I have several quilting books and this is my favorite by far.  How she lays out the cutting and fabric yardage is really nice.  I like to make my baby quilts a little bigger than what she allots for, but it is very easy to adjust her instructions.  I pretty much use this book to make all of my quilts, no matter how big or small.  Plus her ""general directions"" are wonderful for the beginner quilter.",5.0
"Here's my problem -- I work full time, and have an active family.  Now a very close family friend is having a baby shower for her daughter in the next month.  So far so good -- I can get one quilt done that fast.  But then she announces that it is twins.  I don't want to take shortcuts and make 'blah' quilts. And I do want to make quilts rather than purchase a gift.  So I bought this book and I love it.  The quilts at the beginning are very simple and appropriate for complete beginners.  The quilts at the end are a little more complicated, and look lovely.  The later quilts use triangles, which I would not recommend to a complete beginner.  But even so, they will go together easily.  I should be able complete 2 quilts if I can find 2 free evenings in the next couple of weeks.",5.0
"yes, it's meant to be for baby/toddler quilts.  However, just change the fabric and colors and, tadaaaa you have a lap quilt for an adult.  Easy patterns, with terrific instructions.  I have made 10 quilts from this book, using various patterns.  And have 3 more ready to quilt. Never boring, shows the patterns in vivid colors and then again in pastels.  I rate this book higher than the other Ursula books, (sorry Ursula).  A great ""Primer"" for those just starting to quilt, or don't want to spend a lot of time fussy cutting, and would like to have a quilt in a few days. I have also enlarged the quilts and have found the patterns are very friendly in increasing the amount of squares or blocks.",5.0
"This is my favorite of Ursula's 3 books, much easier than the other two (which are also wonderful) and VERY easy to adapt to the growing child.  I currently have 6 of her designs in que for quilting for babies due, to friends and family AND am an avid scrapbooker, work part-time, raising twin toddlers...YOU CAN DO IT with this book!  If you can sew a straight line, you can make a quilt!  I give this book to anyone even thinking of learning to quilt.  The ""recipes"" are easy and very understandable!",5.0
"10 different quilts each photographed in bold colors and then in soft pastels.  This is an awesome detail because you would not believe how different each pattern looks just switching between bold and soft colors!!
The quilts are listed from easiest to ""most difficult"", but even the most difficult one could still be completed by a first time quilter!!  The patterns are beautiful yet so simple to create.
Instructions for each quilt are very clear and easy to follow.  The book even suggests which way to iron each and every seam!!
The instructions for each pattern will only make a ""baby"" size quilt, but because the instructions are so well laid out (especailly the material requirements) it is VERY easy to adapt the instructions to make a larger size quilt. (So it goes far beyond baby quilts!!!)
Oh, and did I mention how easy, Easy, EASY these quilts are to make??? The truly great thing about them though is they look far more sophisticated and complicated than they really are!
You will not be disappointed with this book!",5.0
"If you like to make baby quilts this is the book for you!  There are so many beautiful baby quilts in this book and they are easy to make!  I am a beginning quilter and have made 3 of the quilts in the book.  The instructions are clear and easy and they even have arrows pointing in the direction of which way to press your seams.  I really like the pictures of the different finished quilts shown in the book too, and the different variations of the same quilt.  I have very little creativity when it comes to putting fabric together for a quilt but this book gives you some inspiration!",5.0
"An excellent beginner book! I had never made a quilt before, and last night assembled a beautiful baby quilt for my future-niece! I just keep admiring it. I can't believe that I could make something so nice with so little effort. This book gives such easy to understand instructions through the entire quilting process. I am excited to use more patterns in the book. Wonderful book!",5.0
"I first encountered this sew-and-fold technique at a workshop. It was impressive. Even people who had at most a utilitarian acquaintance with needle and thread were able to create a beautiful folded pinwheel figure in the center of an organza square. I was therefore delighted when the book finally came out.

How it works:

1. Start with one of the authors' patterns of dots, transferred to a piece of fabric.

2. With needle and thread, in the order specified, pick up a few threads of the fabric in the center of each dot.

3. Pause every so often to draw the thread up tighter, smoothing and straightening the origami-like folds as they form.

4. Optionally, iron the folded figure when you're done.

That's all it takes; and if you work the project in a crisper fabric than the sample items Amazon shows as secondary images, the results are as precise as Moorish tiling patterns.",5.0
"If you like geometric patterns and you like fabric art, you will love this book. The projects are beautiful and the design options are endless. I am really inspired by what can be acheived with these fabric folding techniques. I love the dimension and texture that fabric folding adds to any project. I plan on incorporating these techniques into my art quilts. What fun!",5.0
"I met Chris Palmer once many many years ago at an origami convention in NYC. I was in awe at that time of his beautiful paper geometric origami designs...amazing to see in person...even more amazing to see them in fabric and so marvelously presented in this book.  The book itself is a work of art.  AND, the projects that the authors/artists include appear to be very achievable.  The technique as described looks like a most enjoyable game of ""connect the dots"" with a most beautiful end result. This book will appeal to origami enthusiasts and quilters or fabric artists alike.  Simply ""wonderfold""!",5.0
Excellent,5.0
So cool. Planning on making curtains using some things shown in this book.,5.0
"The title says it all.  The book thoroughly covers materials, technique and possible finished products.  I plan to use the technique to make lampshades soon.",5.0
"I bought this book as a gift for a talented friend.  I know that she will be so pleased with this creative approach to sewing and art.  I am so taken with the book, that I am going to buy a copy for my own use as well.  The book is beautiful, creative and well written.  I have been sewing for a long time, and I just love this fresh approach.",5.0
This is a lovely book with fantastic ways to create beauty with fabric folding.  Not for the beginning seamstress!,5.0
"I love this book.  It's like eye-candy for those of us who like to sew and create with fabric.  Time consuming techniques, yes, but the effort is well worth it.  I bought this book some time ago and put it away in my book stash until the mood struck me.  Now it has and I'm so glad I had this book in my library to arouse my creative genes!",5.0
This is a lovely book for those who like challenges and unique looks in fabric combined with the wonders of origami like folds. Fantastic and fancy to make.,5.0
The projects in this book look absolutely fabulous and very difficult.  However the very detailed instructions with many close up photos make success possible.,5.0
"So happy I bought this book! Easy to follow instructions and step bu step help. If you hide your stitching well and make the ties small, many of the designs can be reversed for a different and still beautiful design. (I love both sides of the fish-scale pattern that you see in the last project, the room divider.) A challenging, fun way to try new crafts or (as in my case) incorporate some of these origami inspired designs on clothing.

GREAT BOOK!!",5.0
I wanted unique designs for my crazy quilt and this book fulfilled my expectations. I plan to make more projects from this book in the future.,5.0
"You've heard and seen Origami, the Japanese paper-folding art. Chris Palmer, who studied under one of the Japanese masters, has extended it to folding fabric and creating geometric patterns that emerge when you backlight the cloth. (Confession:  I know Chris personally and even own one of his art pieces.) They look like tessellations, and the different thicknesses of material where multiple folds overlap give the patterns their density and bas relief look. In this book by Jeffrey Rutzky, Chris for the first time provides designs for you to make as well... the first time he has shared his special secrets with the world.",5.0
this book knocked my socks off! i have been a fashion and interior designer for over 30 yrs......this book will inspire you in many ways. great condition and on time.,5.0
"just looking at the pictures and thinking about the origami folds as a textile strategy makes your hair hurt and at the same time, it's like church should be: inspiring, uplifting, expanding and joyful.

If you work with paper or fabric, have a look.",5.0
"This book has helped me to transfer my paper origami and tessellation work into the meduium of fabric. The book is well set out, with good photos throughout. Instructions are clear. I recommend it.",5.0
"For those quilters who want to move into the art quilt arena, this is a good way to start thinking about something beyond standard piecing.",5.0
I have read this book -- interesting author with an interesting and unusual talent.  I think I just may have found a new addiction to rival my other fiber crafts.,5.0
"This book is about a sewing technique (it may have it's origins in origami but it's still a sewing tech) which may be inspiring to sewing enthusiasts who have pretty much tried & mastered (or not)other methods in the field of sewing. For me, personally, this is an exciting, newly discovered area of my much loved hobby. It seems to be based on what's called Canadian smocking.  The projects in the book are gorgeous, and I cannot wait to try my hand at shadowfolding :).  Great job, Palmer/Rutzky!
Samina, American Sewing Guild",5.0
"I love this book.  I'd like to emphasize that the instructions are very easy to understand and to follow. Any sewing novice can create these beautiful, intricate looking pieces. I haven't felt that any of the projects are too complicated or beyond my abilities.  No frustration -- no confusion. And, I've been using some of the patterns to incorporate into clothing.  After years of wanting to stick a fork in my eye after reading industry sewing patterns and diy books that read like Klingon, and/or are missing pertinent instructional steps, and/or have boring/crappy projects, this was a breath of fresh air. I sincerely hope that they publish more books :)",5.0
I love this book.  I've wanted to try different and interesting techniques to manipulate fabric aside from simply smocking. These designs are easy to understand and the projects give you a variety of applications for the technique.  I can't wait to start experimenting.,5.0
"Love this product. Being new to paper piecing and after trying this material I never want to use anything else. It's perfect. After trying 2 other types/brands, I finally found the perfect paper with Simple Foundations Translucent Vellum Paper. Only wish I could get it in 50ct or more. Fast delivery too.",5.0
Pattern printed on it beautifully.  Easy to see through so it was easy to use.  I will be buying more to complet my project.,5.0
"I used this vellum as an overlay to a Christmas card I made this year.  The stamped image under the vellum showed very nicely through the vellum, which is what I wanted.",5.0
Great quality. Exactly what I l needed for my project. Easy to use and made the project much easier to complete.,5.0
Just learning to paper piece,5.0
"I ordered this paper, along with a ream of ""Vellum Value Pack 8.5""X11"" 50/Pkg-Clear"" by Darice so that I could compare.  The Simple Foundations pack only had 30 sheets and the other package I ordered had 50 sheets (so cheaper!).  I want to say that they are both exactly the same.  Same weight, so translucent color.  Thought I would share because I'm sure someone out there was wondering if there might be another, less expensive, option.  I do plan on keeping both packages, since I opened them up.",5.0
So much clearer and easier to use than newspaper type foundation.,5.0
It is what it is and for a great price. The Quality is Good.,5.0
Might be too expensive for using all the time but as a first time paper-piecer I would recommend highly.  It rips off material easily when using a small stitch.  Very easy to trace through and use.  I may use it all the time just to feel rich!,5.0
Will need more of this soon and will reorder this brand. :),5.0
Worked very well,5.0
"Yes, this is a nice translucent paper for art projects, and also, for calligraphy. It is very smooth, and has a nice slick feel. It is heavy enough to not wrinkle. It also makes nice translucent envelopes.",5.0
"This was nice vellum, just what I wanted and it held up good to my heat gun while I was embossing.",5.0
"These are thick, but they do the job!",5.0
Very happy with this order. Thank you.,5.0
I ordered the wrong item. But I will use it in my quilting.,5.0
Easy to use. Makes cards look glamorous.,5.0
Excellent i used this to make Lumineers with photos... perfect.,5.0
Worked perfect with my Thanksgiving lanterans.,5.0
"Thanks, just as described",5.0
Works great & I didn't have to go hunting for it. Just ordered on line!,5.0
I love it.  for tracing patterns,5.0
excellent ....would order it again,5.0
Perfect for paper piecing.,5.0
It's vellum paper and it works like vellum paper. :o),5.0
"it is the best paper it isn't slippery, I have tried other paper and this is the one I use",5.0
"Although I have quilted for 20 years, I have never learned the technique of foundation piecing. This product was highly recommended by my Yahoo quilting group online, so I ordered a package of it and I have to say, it performed wonderfully. It went through my laser printer with no problem, sewed beautifully and no problems removing it from the quilt blocks once they were finished. It holds up well to the iron when pressing the parts of the block, and doesn't seem to cause any trouble with the sewing machine. I will definitely keep using this product!",5.0
I have used this product many times.  Very intricate designs can be done.  All come out perfectly.  I always have straight seams.,5.0
"Thank you for fast service, item is as expected, and packaging was adequate.  I will gladly recommend your site to friends and family",5.0
"I teach paper piecing classes and this vellum is my first choice for the patterns.  The students prefer this paper to other types of foundation papers because they can see the placement of the fabric pieces before they sew.  When printing, remove each page as it comes out of the printer and allow it to dry.  There is slight ink smearing otherwise.  Keep the stitch length smaller than normal to avoid stitches tearing out when you remove the paper.",5.0
I purchased the 4-in-1 tool when it first came out.  My favorite part of the tool is the stiletto.  I really can't live without out.  Not only is it great for quilting but it also is a great extra hand if you are embroidering.,5.0
"I haven't had the 4-in-1 Essential Sewing Tool very long, but it is such a versatile little ""toy.""  In fact, as far as I'm concerned, it is the ultimate quilting toy--everything you need in one object!  You can sew, then you can press, then you can un-sew (as I usually do several times!), then you can start all over again on that block!  I love it.  Thanks, Alex, for thinking of this and then going through with the production of it.",5.0
"THIS TOOL WAS MADE FOR QUILTING, BUT IT COMES IN HANDY FOR ALL KINDS OF SEWING. VERY USEFUL FOR ANY SEAMSTRESS.",5.0
"GREAT quilting tool - recently made a new quilt and used all four parts! Thanks, Alex!!!",5.0
"I've used this tool several times since I got it--the stiletto is great for guiding tricky seams and Bernina makes the best, sharpest seam rippers. It's great to have by my side!",5.0
I received  one of these tools for Christmas and already I am sewing and unsewing with it at my side. My favorite parts are the seam ripper (its Bernina!) and the stiletto.,5.0
Great quality tool!,5.0
Can't imagine how I ever sewed without it!,5.0
"convenient sewing tool, useful as a seam ripper, press seam down and to get into a point",5.0
"Should have read information better, assuming will get you........!
Not sellers fault, will keep and find a use!",5.0
My go to tool!,5.0
Best tool ever,5.0
Nice all-in-1 tool.,5.0
"I love this product.  I use them all when I am quilting and this is a great product to have.  All three tools at you finger tips instead of having to
get three separate products out to us.  Very well made!!!",5.0
I use this tool daily!  Well worth the price,5.0
Item as stated,5.0
"Very handy, good size to manage while sewing.",5.0
Exactly what I wanted. Arrived promptly.,5.0
Great!,5.0
I love it! It's nice to have one tool that does so many things!,5.0
"I've had one of these for about four years and love it in spite of the loose caps others have reported. I just make sure both are pushed on tight so I don't lose one or the other or inadvertently stab myself! My two favorite tools are the stiletto which I use to help guide fabric through as I sew, especially when there's a seam that could end up going in the wrong direction and the turner which I use mostly when I'm sewing baby bibs and need to turn them inside-out and smooth out the curves. I've just ordered a second one to keep with another sewing machine. I've tried using other pressers/turners and stilettos but I'm not satisfied. The only tool I don't use is the seam ripper. I have one I like better.",5.0
"The tool had to be replaced initially due to rust and dull blade, but there was no argument from the vendor and a new one was sent very quickly. My wife is very happy with the 2nd tool - it is as sharp as she was expecting and no rust in sight!

Good transaction and we'd buy from the vendor again.",5.0
