Review,Rating
"As always this guide explain with pictures and good tips how to work in your bike. It tell you the degree of difficulty of each work from novice to experts, tools you need, specs history and more. A must!",5.0
"As a novice MC mechanic, this is a great source of detailed information.  I have already used it and am sure to many more times.",5.0
Good manual. Just what I needed. I would order it again. And this silly site requires me to write a certain number of words for a review. Who came up with that?,5.0
"covers the bikes listed in the description, also gives some coverage to older models. a good resource for the DIY, or if you want to start learning about your bike and how to take care and work on it. between this manual and youtube, this is nothing I have wanted to do that I have not been able to very very easily.",5.0
Great book and a necessity for a well stocked garage. Great photos with plenty of detail and written with clarity.,5.0
"Well written, must have for maintenance.  Includes all torque values, electrical diagrams, etc.  Great for routine maintenance tasks such as oil changes, etc.",5.0
We bought this for a friend. He was very pleased to receive this Triumph : Bonneville book! It came in handy when he needed help for his motorcycle!!,5.0
I choose the rating based on Value and fast shipping. I really needed a manual for my Triumph and this fits the bill. It is a hardcover and will last a long time with constant use.,5.0
"This is the book you have to have. I had to re-tune my bike (1978 KZ650D SR) for 11,000+ feet in Colorado. The previous owner messed with everything and had no idea what he was doing. In order to get the carbs back to square-one I had to have this book. Plenty of good info, advice and pictures.",5.0
Was told by the inmates on ADV forum to buy this map.  It is awesome!,5.0
nice map would buy from again,5.0
great map for old school navigation.  Used it often when the Garmin ZUMO was giving strange directions.,5.0
So many places to go.,5.0
Great heavy weight material! That GPS might not always work. Great keep sake too. Beautifully designed and easy to read.,5.0
Love it!,5.0
Great,5.0
"Very nice map!  I used to when I went to Nor Cal (obviously).  I love the GPS tags that show you where the good roads are.  These came in handy so much that I wish they had more scattered throughout the map, especially the beginning and ending of the dirt roads.  Not big deal as there are ways around this with a Garmin and/or Cell phone.  The print can be small at times but it never inhibited the map in any way.  I found it was easier to do research with this map than use it on the open road, but I did both.  Yellow, red, and orange routes were as described!",5.0
find the best,5.0
Convenient on my Keychain and is secured by a good strong magnet (which can also be used for identifying ferrous materials when the pen is removed}.,5.0
"This a phenomenal little emergency pen. The build quality is rock solid--it's a little tube of stainless steel. The magnetic cap is plenty strong. I keep it on my key chain, and the pen has never once come loose or fallen off. The magnet is strong enough to give you a very satisfying snap when you insert or remove the pen. Inadvertently detaching the pen is quite unlikely. At under 3 inches long, it fits nicely in my key chain with my car keys. You can use any standard multi-pen refill. I use Fisher Space Pen U1F or U4F universal refills.

----------------------
EDIT: March 15, 2016

So this is still the best tiny keychain pen. The magnetization on the cap is strong and solid, and the pen is shorter than my car key. However, there are a few changes to the design since I last ordered this pen in late 2014. These details are noted below and in the pictures that I have uploaded.

First, the picopen has increased in length from a bit over 3"" to now a bit over 3.25"". In addition, the thickness of the pen has increased from what used to be approximately the thickness of a standard USB cable to what is now just shy of the thickness of a 6.35 mm audio jack... or a little bit bigger than the grounding prong of a three-prong electrical plug (sorry, I don't have a caliper handy for better measurements).

Second, the design of the top of the pen has changed slightly. As can be seen in my pictures, the older Picopen had a tiny lip at the top of the pen, where it connected with the cap. The newer design is a smooth cylinder.

Third, the cap design has changed quite substantially. In the older design, a magnet was attached just inside the cap rather shallowly. When you put the cap onto the pen, the magnet inside the cap gripped onto the lip of the pen (see pictures). With the newer design, the cap is nearly twice as long, and the magnet is recessed much deeper within the cap. Because of the recessed design, the newer cap slides down the shaft of the pen nearly a quarter inch more. Also, as far as I can tell, the magnet on the newer pen is a fair bit stronger than on the old pen. These design choices make it much less likely for the pen to accidentally become detached and fall off your keychain (though that never was a problem for me with the old pen).

Fourth, the mechanism for gripping the ink refill has changed on the new pen. On the old pen, the refill just slides in. It's a lightly firm fit, but it feels as though you're just sliding the ink refill into a cylindrical metal tube. You slide the refill in all the way until it hits the back of the pen and stops. The new pen is quite a bit different. Though I am unable to see inside the shaft of the new pen, it feels as though there is a spring that grips the ink refill as you slide it in. The spring resists the ink refill from going into the pen shaft at the very top, but once you have the refill in a little bit, it slides in very firmly. When the ink refill is inserted all the way, pushing on the top of the refill reveals a little bit of springiness. I'm sure everyone has used a retractable pen at some point in their life that, when they press down on a piece of paper, the ink refill has a very small amount of give/springiness. The new Picopen is like that, whereas the refill in the old Picopen is rock solid and has no give. I assume there is probably a small spring underneath of the ink refill that you compress as you push it in which causes this.

Fifth, as mentioned above, I use Fisher Space Pen U1F/U4F pressurized refills for my Picopen. Even though the U1F/U4F are standard multipen sizes and are almost exactly the same size as the ink refill that comes with the Picopen, the refill gripping mechanism in the new Picopen strongly resists accepting the Fisher refills. You have to wiggle and push the Fisher refills pretty hard to get them past the initial resistance of the new Picopen before they will slide in, and as you do so, it feels as though you might break whatever spring is inside of the new Picopen. Perhaps this problem will fade with time as you put some wear and tear on the new Picopen. I suspect that reason for the difficulty in getting the Fisher pen refills into the new Picopen is because the tip of the Fisher refills are capped--since they're pressurized--whereas the ink refill that comes with the Picopen has a hollow end (see pictures).",5.0
I really like this pen! I wasn't sure it would be useful at first but I've already been through two refills (cross 8518-4). Twice in the past two years the pen has gotten separated from the top while removing it from my pockets but so far I'm 100% lucky in noticing immediately and finding it.,5.0
"Great product. Its my everyday carry pen. Instead of putting it on my keys, I hang it on a zipper pocket. I just pull down instead pen. Now I can jot something down whenever. Not sure, how to change the ink. Like the product.",5.0
"People I've given these to love them. Too expensive to buy for myself. The pen really stays in the cap, and it comes out easily when you want it.",5.0
