Review,Rating
when you don't get your act together and need to make sure your niece gets a present on time. more words required.,5.0
Easy to order and print and a huge hit with the older boy I purchased it for. Will use again for sure.,5.0
Nothing beats an Amazon gift card except another Amazon gift card!  Great selection of cards and fast easy ordering and delivery!,5.0
"This was the 2nd gift card I have sent.  And so much nicer to let someone ""shop"" on their own!  Both times they were a great success!  I will do it again.",5.0
Not only a wonderful product but great customer support and excellent service. Would definately order again. Item was so easy to order and the person used it with no problem.,5.0
Great gift - quick and convenient: A great gift particularly if you need to get something in few minutes! Very convenient.,5.0
Perfect for the baby shower occasion.  Easier than going out and finding something that may or may not be needed.,5.0
"Amazon could not make it easier to give occasion-appropriate gift cards.  Just choose a theme, an amount, write a note and print!  Love it!",5.0
Purchased amazon gift card for a shower gift for someone who lives out of town. It was a perfect solution to help them avoid one more thing to transport back to their home.,5.0
This had to be one of the easiest baby shower gifts I've ever bought.  It's a gift and a card rolled into one.  Cute stork graphic and easily customized made it a no brainer for me.  Definitely a do-over the next baby boy I have to buy for!,5.0
"Now that I have started buying Amazon Gift Cards, I can see that people really love them because they are used within a few days of purchase.  It's nice that you can see that they have been redeemed.  I always make sure free shipping is included so I wouldn't get less than $25.00.  It's a nice easy quick way to print out a gift card, when you don't have the time to go shopping.",5.0
I love the fact that you can purchase and print of the gift certificates instantly especially when looking for a last minute gift!,5.0
I like the Amazon Gift Card my grand children are getting older and like to pick out their own gifts. The gift cards are easy to select for any occasion. Our  grand kids are constantly on Amazon.com and are looking for unusual items.,5.0
Easy for recipient to use. It works by code and all does not have to be spent at once and can be used in combination with a credit card.,5.0
Easy to use. Will use it often in the future. Ideal for quick shopping. Everyone likes to get an Amazon card!,5.0
Loved the ease of being able to print out a voucher/card rather than needing to have one posted. Next time I would make sure I had some high quality printing paper though as all I had was regular white A4.,5.0
Didn't know what to get my son for his birthday this year so I bought him something that I knew he would like...an Amazon Gift Card!  The designs are great and there is something for every occasion.  It is the perfect fit!,5.0
Ordered this as a gift and printed to send in the birthday card- you can't beat convenience like that anymore!,5.0
easy to print easy to give! great for a spur of the moment gift or for a wish list item,5.0
Easy to use and great choices. What is not to like? Everyone loves a gift card especially with elephants on it,5.0
"If you are running out of time for a gift, this card is perfect and easy to print and present",5.0
I liked the convenience of choosing the gift card and the speed of confirmation and receiving my choice to download so promptly. The recipient of the gift card enjoyed choosing how to spend it and has had a successful shopping experience with Amazon.,5.0
So convenient and fast if you need a gift and don't like shopping.,5.0
My son's teacher was very happy with this teachers day gift.,5.0
Such an easy way to give a gift without having to go to the store!,5.0
IT worked.,5.0
Graduation Gift Card,5.0
"Good, very useful, easy to use. I really like it. already used in many occasions such as birthday and other commemorations",5.0
"My wife and I have exchanged Amazon gift cards the last few years...for birthdays, Christmas, anniversaries and other special days. Since we both have Kindles, the Amazon gift card is a present that can't go wrong!",5.0
"It's cute, it's happy, it's easy to buy and print and I was able to help my boyfriend get something he really wanted!",5.0
"Sending my husband an Amazon Gift card for his birthday turned out to be quick, easy and I knew he'd like it!",5.0
"easy and fast to get a gift from home :) My husband loved it, really happy with my purchase :)",5.0
"My granddaughter, Lillianna, received this card and immediately ordered basketball socks.  She seemed to be pleased with them.  Thanks Amazon.",5.0
"How can this get any easier. My wife loves her Kindle. It goes with her everywhere. So, when I needed to get her a last minute present, I purchased, downloaded and printed an Amazon Gift Card.  She added it to her Kindle and has used it to purchase more reading material. She loves the convenience, as do I.",5.0
"Our daughter has a Kindle and often downloads books.  This is a wonderful way, quick and easy, to send a gift.",5.0
This was the perfect gift for my daughter.to go with her new kindle.  I can see buying more of these in the future.,5.0
"My husband was happ about this cute birthdaycard, not just the content. I believe its alredy been used on a good book",5.0
"When your nephew is in the Navy this made the perfect gift!
He gets what he wants and I don't have to wrap.",5.0
It is hard to choose anything by 5 stars for a gift card.  My son was glad to receive it.,5.0
"Easy to buy, easy to print, easy to give!  In five minutes, you can get a great gift without leaving your home.",5.0
This card was so perfect! It was easy to print out and looked so cute! I would definitely use the Amazon print gift card option in the future.,5.0
"Easy to order, easy to print! I just didn't realize that by printing at home, I did not need to be so formal in my personal notes, as it prints exactly what you enter in the to and from areas. But will definitely use the gift card program again and again.",5.0
