Review,Rating
Definitely added more than a little white to my teeth!,5.0
"I have used this toothpaste for years.  The Calprox keeps stains (from coffee and tea) away, and my smile is bright and beautiful!  ....highly recommended.",5.0
"Love it! Will be buying again! Patience needed, as this doesn't work overnight. But it does work!",5.0
"Really works, tastes good. Be sure to (gently) brush full 2 minutes...then you can see difference in just a couple of brushing sessions.",5.0
WORKS GREAT,5.0
Great tasting toothpaste and really good for sensitive teeth.,5.0
Product came as stated. I personally things this product does help with whitening.,5.0
"Love this paste!  I previously ordered it on TV channel show and loved it.  But they don't offer paste alone!  You have to buy rinse, pretreatment, etc.  So, I bought it here!  Works great for me!",5.0
i think this worked great,5.0
great,5.0
"I have just started using ""Supersmile"", and I think it IS whitening my teeth and veneers.  I think some drugstore brand whitening toothpastes seem to make veneers look worse.

What I DID notice right away, was how smooth my teeth felt, without any scrubbing.

Also, I had quit using drugstore whitening pastes, because they are so hard on the tissue in my mouth.

I must have had a bit of dried toothpaste on my brush, and when I used it before I went to bed, it must have gotten lodged under one of the bones in my bottom palette, and burned a very painful hole that took a week to heal.",5.0
Have been usimg Supersmile for years and love it.  It does help to keep the teeth white and tastes great too.,5.0
I have been a loyal user of this product for at least 8 years now. LOVE IT!,5.0
"I love this toothpaste! I know crowns and bonding can't be whitened, but mine had gotten so stained I was desperate to try anything just to make them look better. This stuff did the trick! I had my doubts when I placed the order, but within a week my teeth looked whiter and cleaner again. The bonding on my two front teeth now looks like it did when I originally had it done. I hope this toothpaste works as well for you as it has for me.",5.0
excellent tooth paste,5.0
very good tooth paste,5.0
"This stuff is the bomb!  Really works and doesn't hurt sensitive teeth at all.  Also tastes good.  They come in different flavors as well, but this is my fav.",5.0
Thank you!,5.0
Excellent stuff. I like this brand because it doesnt burn my mouth.,5.0
Love it!!,5.0
"The jury is still out on whether this is making my teeth whiter.  I will review again later.  I will say that I like the apple taste, after years of boring ""mint"" flavor that is favored by just about every other brand toothpaste.",5.0
Excellent results in just one week. Removes coffee stains. The mint taste is good too.,5.0
best toothpaste out there.  have been using it since the product first launched.,5.0
This is the only tooth paste that has whitened my one bonded tooth. I whiten my teeth between dental cleanings and that one tooth on the side always looked a tad darker shade than the rest of my pearly whites.  Not anymore.  Great toothpaste.,5.0
"A real working teeth whitener!  Now you teeth are not going to go from Yellow to bright white, but they will whiten!  Plus the flavor of this toothpaste is amazing!  VERY minty - leaves your breath smelling minty fresh!
My kids even like this toothpaste!",5.0
Great taste.,5.0
fast shipping...great product,5.0
Love this toothpaste.  I have used it for years because my dentist recommended it and because it really does work to maintain tooth whiteness.  You only need a small pea-sized amount and a dry toothbrush to use it effectively.,5.0
As described. Prompt delivery. Thank you.,5.0
best toothpaste ever!!!,5.0
I've ordered this for years.  My dentist recommended.  Arrived quickly as usual.,5.0
I've used this toothpaste for years.  Found it at my chemist shop in NYC. After a few months I went to my dentist for a whitening session.  She looked at my teeth and told me that they didn't need whitening and what was I doing to keep them so white.  Well worth the money.  Last a long time because you don't have to use much.,5.0
A+,5.0
"About 10 years ago I got veneers on all of my teeth.  So, I do not have one tooth in my mouth that I was born with.  They say veneers do not stain but the past few years I have noticed little brown lines on them and they aren't as white and shiny as they used to be.  I also quit smoking 3 months ago and have stains on the backs of my teeth near the gumline, where what's left of my real teeth are.  My dentist had told me to use Sensodyne and not to use any whitening toothpastes.  A few years ago, after a cleaning, I noticed that my veneers weren't as smooth as they used to be and food seemed to be sticking to them.  I can only guess that they must have used a polish that was too abrasive on them.  I was on the verge of buying an expensive tooth polishing machine but was nervous about the grit of the polish ruining my expensive teeth.  Suddenly, this toothpaste popped up in a search. I started using the toothpaste about a week ago and I already notice whitening of my veneers as well as all the little brown lines are gone.  After a few days use I smelled tobacco while I was brushing and, having smoked for forty years, I was used to that smell on my hands.  I suddenly realized I shouldn't be smelling that at all so I assume that was some of the stain coming off my teeth. I only purchased the toothpaste but I think I am going to buy a small tube of accelerator in order to completely remove the stains from the backs of my teeth.  Additionally, I had a couple of chewing teeth that food would get stuck in after every meal so I was constantly flossing there every time I ate.  Yesterday I noticed that is no longer happening.  I guess there was something sticky there causing all the food to get stuck.  One more thing to note - my teeth feel like I just had them polished all day and even when I wake up in the morning.  No more gross film in  my mouth so I assume no more morning breath!  If you are on the fence about getting this I suggest you take the jump.  You will not regret it!  BTW, this was delivered so fast I couldn't believe it!  And the price is half what you pay from Supersmile.",5.0
Works great! I have only been using this toothpaste for a week & they are so white! I cant wait to see what they look like when I finish the tube! Will defiantly keep using..,5.0
I have been using this system for a little over a month.  It works as advertised and my teeth have changed several shades lighter.  I use it with an electric tooth brush as directed which is use dry..Highly recommend this product.,5.0
works very well with vaneers,5.0
Great price!,5.0
