Review,Rating
great,5.0
i love this movie exellent service,5.0
Excellent minus the bath scene.,5.0
Very good movie! I really enjoyed this about the life Joseph! Ben Kingsley was outstanding!,5.0
True to scripture.  Great actors.  You have to watch this.,5.0
I love this movie.,5.0
My favorite Joseph movie ever....,5.0
"A wonderful story that is just very well done. Good acting, Ben Kingsley and the cast are just perfect in each of their roles. Beautiful footage of what the Holy Land must have looked like, no matter Where it was taken. The richness of the period costumes, customs, attitudes and the connection of the people to the land itself and to kin. All the details appeared to be nicely taken care of",5.0
good movie,5.0
great movie,5.0
GREAT,5.0
"One of the best movies I've ever owned.  Truly Biblical, and not a bunch of Hollywood crap added.",5.0
"Thanks ,great n sticks much to scripture, great actors n production. My project is to teach my grands with as many movies depicting as much of The KJV of  the Bible as possible n so far so very good. THANK ALL",5.0
Good Movie,5.0
I have the VCR of this movie and it is great!! Just wanted to update my collection.,5.0
I have been wanting this for a long time.  Glad to finally have it!!!,5.0
Best movie ever,5.0
"My husbands favorite movie. A must buy, very good viewing quality",5.0
This movie inspired a person who had no clue who Joseph was. Thank God for spiritual movies  Like these.,5.0
This is a beautiful story of faith in God.  I have been wanting to purchase this for some time.  I 'm  glad you had it.,5.0
Received,5.0
"This was a very good movie. It didn't have a lot of exaggeration in it, and was very much like the story recorded in the Bible.",5.0
"whats not to love, Ben Kingsley!!!!!!",5.0
Fast delivery. Awesome movie!,5.0
MY Favorite bible story.,5.0
Thanks for everything.,5.0
Loved the movie!!!,5.0
"You'll love every minute of this three hour movie. Filmed in Morocco, this treatment of the rags to riches biblical story explores the political intrigue of Joseph's polygamous family and subsequently the Egyptian court. Joseph has long been regarded as a forerunner of Jesus, and the movie alludes to this similarity several times. In fact, Joseph's story is an Old Testament illustration of Jesus' observation that ""no prophet is accepted in his own country,"" (Luke 4:24). Joseph's talent for interpreting dreams provokes his brothers to sell him into slavery, but the same talent proves enormously profitable for him in Egypt.

Perhaps the most relevant connection between the 1995 movie and the present time is the debate over prosperity theology, which proposes that one can enjoy God's blessings --particularly health and wealth-- on earth. Joseph, as portrayed by the athletic Paul Mercurio, is certainly capable of fighting back against his oppressors, but instead of physical aggression, he chooses to assert himself through faith, talent, honesty, and impressive political courage --attributes which eventually earn him riches in Egypt.

Followers of prosperity theology are seen by some Christians as heretics who love money, but the Joseph movie is an epic struggle for the good life, and it raises larger questions. Don't most Christians work for a better life? Don't they repeat refrains, such as ""God helps those who help themselves"" and ""When opportunity knocks, answer the door""? Is the ascetic life advocated by the Bible practical or even responsible in the postmodern world? Was Joseph as a long suffering slave morally superior to Joseph as a rich governor who saved Egypt and its neighbors from death by famine? Several biblical characters have inspired many an inspirational film, but the Joseph movie strikes at the heart of money's problematic role in Christian life.",5.0
"This is my favorite Paul Mercurio movie.  As Joseph he is a truly unharnessed character whose angst is so deep, visually apparent and so complete that we are free to empathize with him. The multi dimensional emotional conflict from within the character is so palpable that it
develops its own spiritual presence in the hot tub seduction scene.  And, the gentle, sweet, forgiving demeanor of Joseph when he reveals
himself to his brothers at the end just ties the story together and brings it to a close with an all encompassing forceful power that is just so
refreshing.  No violence, no revenge, just powerful forgiveness mixed with a dash of gratitude for the end resulting exalted / elevated status
that resulted from his brothers' betrayal.  I love using this movie to learn languages.  The layered emotion and richness makes it, for me, a movie classic.  I think Paul Mercurio movies in general are great language learning tools.  They are so interesting that I don't mind watching them many times.  And, watching anything more than once is a rare occurrence for me.  I initially saw this movie on a religious channel so
the hot tub scene was edited out due to its sexy content.  It is a very crucial part of the movie, however.",5.0
I love this movie!  Very true to the biblical account of Joseph.  I'm moved every time I watch it  Especially where Joseph forgives his brothers!,5.0
Great Movie.,5.0
"Great movie, I have watched it probably 8 times",5.0
Excellent video,5.0
I have the VCR so its nice to have the DVD now. Exellent movie and well written.,5.0
Very Good movie  is in good condition  thanks,5.0
It's the Best one .,5.0
"I absolutely enjoyed this movie and would recommend it to all and especially to ""believers"" in Christ!!!",5.0
"I bought this for a friend who asked me to get it for her. She adores this movie and we have watched it together many times.  Scripturally accurate, which is rare.",5.0
"Great product, Fair pricing.",5.0
Wonderful account of the Biblical/historical account of Joseph.  We have watched it several times.,5.0
Good biblical interpretation and good acting!! Loved it! The story of Joseph is one of my favorite stories in the Bible.,5.0
I like this move. I watched about 15 times or more,5.0
