Review,Rating
"I bought this for my husband - his new Bible was too thick to fit in most cases. This one is great, and sturdy enough for a weighty Bible. Plus the leather-like look of it gives it a distinguished, masculine look.",5.0
I was worried when I ordered this case for my Bible (Letra Super Gigante) but felt much better once opening the package. It is darker and more rich in color than it appears to be in the picture. It fit the Bible perfectly.,5.0
"I really like this Bible cover. Rustic look and room enough for a large Bible or a smaller Bible with reading device, journal /notepad and pens. Also has a pocket in the front. Highly recommend!",5.0
"This is a very good Bible carrier for our large print Bible. We were afraid it would not be big enough, but it is exactly the right size.",5.0
"I recently got the Complete-Evangelical-Parallel-Bible-International, which has 4 versions of the Bible, and it fits in this case. What more can I say than that it does its job?",5.0
"My husband is very happy with zippered cover for his new bible.  It is masculine and rugged looking, kind of like him.  Also handsome for any man to carry.",5.0
"Nice book holder, the leather is quite nice and my husband really liked it. I would recommend it to others",5.0
"This is a great cover for the price, especially if you have a large Bible.  Very happy with my purchase.",5.0
I bought this to give to my husband for Christmas. It fits his Bible perfectly. This is a good source.,5.0
"I bought this for the Hendrickson Parallel Bible-PR-KJV/NKJV/NIV/NLT Hardcover (reviewed separately).  It fits perfectly, snug but not tight.  Zipper works good. Material is faux leather or pleather?  Minimal, so don't expect to have room for a set of highlighters or to put your touchpad device in with the book.  Came well padded and protected along with other items in box.",5.0
This oversized bible cover is durable and handsome for a guy to use and it has lots of room in it,5.0
"This is a very sturdy cover that makes my scripture seem more substantial. I have seen others that have more storage, but this is exactly what I had been looking for.",5.0
Exactly what I wanted and needed. Fits my large Bible perfectly. The handle makes it easy to take to church and I love the pockets on the outside.,5.0
Will fit the normal large 9.5 inch  X 7.5 inch bibles. Great leather material. Has pockets for notes and 2 pen holders.,5.0
"This is a very nice cover. I have a Tyndale Life Application Study Bible. It fit perfectly, and had room for a 5"" x 7"" spiral note book. The price was great too.",5.0
"PROS:  The cover fits my Bible perfectly.  Even though it's faux leather, it still looks good.

CONS:  The handle seems to be on the flimsy side.  I don't use the handle much.

SUMMARY:  I would highly recommend this product!",5.0
this was for my 9 year old son.  His bible was getting pretty tore up so I got him this bible cover.  It was masculine enough for him to want to use it.  nice quality too it seems like it will hold up well.,5.0
Very nice and roomy for my Bible and other information.  Well made and the inner Bible holder is a real plus.,5.0
"I will use this in my ministry to hold bibles and Bible literature. You receive a zippered case with handles, Bible cover, long strap, a pad, a pen, and a highlighter. I was only looking for a Bible Cover for my Hindi BSI (OV). The price for this whole set was fabpriceulous, as many covers alone were the price of this set! I ordered 3 colors: Black, Green, and Pink. I am happy with my purchase. I feel that this is sturdy enough to endure daily use. The front pocket of the bag is perfect for either a small notebook or even the small tracts and handbills that I will use. Inside the bag are extending cloth pockets and attachments to attach the Bible cover inside the bag itself. The strap can be used on either the Bible cover or the bag. I had thoroughly examined the pictures of this bag, I thought - but I hadn't noticed the metal ""Cross"" zipper pulls. They were on all 3 bags that I purchased.
I DO like that the bag, though.",5.0
I wanted something I can carry to church and RCIA book. I actually separted the 2 and put my hymn book in the book cover and the bible and other worksheets in the organizer. I love it!,5.0
"This bible study organizer is just the right size to handle my Life Application bible, my notebook and pens. I sleek and large enough for a few personal items, so no need to take a purse to church.",5.0
"Absolutely love this bag/organizer.  Holds my workbook, bible, study book and so much more.  Love that it comes with a highlighter and pen as well as a notepad.  Plenty of room for lots more.  Would recommend to anyone that attends church or bible studies.  All your items in one place.  Really excited to use it.  Got it a lot quicker than anticipated.",5.0
"This was just what I was looking for. A cute, but understated bible-holder-organizer. It's actually much nicer than it looks. It is large enough to hold an over-sized bible study book. I love having everything handy: pad of paper, highlighter and pen. It's really perfection!",5.0
"I wanted a new bible case that I could also carry other items such as my keys, cell phone, glasses, notepad, wallet, loose paper, etc.  This organizer worked out perfectly with room to spare.  The bible cover fits my bible perfectly.  It comes with a pen, highlighter and note pad and it has 3 storage slots on the inside, I just wish it had a few ""creditcard"" pockets for my bookmarks.  I love the velcro hooks that allows you to detach the bible cover from the case.  I saw the lime green/brown and the pink/brown ones in the store for $35. I ordered the black instead because those colors were VERY bright and looked like they would get dirty easily and quickly (they should come in more colors). I didn't have to pay taxes or shipping and it came within two days.  Great product and great transaction!!!",5.0
I got this for my mother-in-law who really loves it.  She loves all the storage compartments and her favorite feature is being able to completely take the bible out without any hassel during a bible study and then easily replace it.  It was cheaper at amazon.com than anywhere else and it arrived a day earlier than even amazon estimated.  Good purchase all around!,5.0
"wonderful bible study bag. has plenty of room for study notes, a notebook, and the pocket on front is perfect for my keys and phone. I also like the fact that the bible case is removable. great features. yes it is large, but for study it's perfect for me. highly recommend and have a friend who bought one just like mine because she loved it so much.",5.0
"I have a large print study bible and I like to carry a journal and the bible at the same time. This is like a small briefcase or purse, but I feel like carrying it and my purse is better than juggling my bible, journal, pens, etc... I would buy this again!",5.0
Perfect size. Nicely made. Very roomy inside. Arrived fast. Packaged well.,5.0
"This is an Extra-Large Bible cover. It has a section inside that you can slip your bible into, and this section closes with a clasp, which is very important because that keeps your bible from getting all wrinkled and squished. But it's much larger than the size of a bible. It's so roomy that it can hold all my little notebooks and pens, and I have a alot of stationery that was making my old bible cover bulge out. I really, really love my new bible cover! One million stars.",5.0
My wife loves it.  Best gift to date,5.0
"I received this awesome Bible cover organizer yesterday as a gift. Wow, I just love all the features: water proof with purses handles plus a removable shoulder strap...out side pocket for easy access...huge inside pocket for note storage...a slot for small note pad (works for either right handed or left handed writers)...pen and highlight loops. Also, a big plus are the hook and loop quick release tabs to pull the Bible out for study. In addition, the organizer may be used as a lap-desk. This item was well designed, in fact I would love to see it manufactured in leather.",5.0
High quality Bible case very well made and holds not only my Bible but essential small items I carry in my purse. With this case I do not need to carry a purse into church. Very conveient and attractive item.,5.0
Great quality and holds everything I need!,5.0
"I purchased this item as a gift for my beautiful sister , and she absolutely loves, loves, loves it!!!",5.0
"Exactly what I was looking for! I needed a Bible cover that would allow room for all the notes, cards and other items that I have slipped into my Bible over the years. Even with all those items inserted, the case stills zips closed easily. The fabric case seems more durable than my old one. The long carry strap is optional. I won't use it, but I'll set it aside for possible future use. Great purchase!",5.0
"I LOVE this Bible case.
I came with a highlighter and a notepad which was great!
I love the look and feel of it and the fact that it holds my extra large Bible.
I love it!
I may purchase again as a white elephant gift... someone will love it!",5.0
Everything was satisfactory.,5.0
"Love it.  Roomy and big enough to hold my Bible, Sunday School book, candy and other small items.",5.0
bought for my aunt who lovees it,5.0
It fits a lot of stuff in it and I love the pockets and the space.,5.0
"I like this Bible Study Organizer very much.  It is was a little bigger than I anticipated, but I can fit everything inside it, including my study notes and glasses.",5.0
"We are very much enjoying my ""Bible Study Organizer Coal with Leather-Look...""  We had it almost a year and use it every Sunday.  My husband and I put our bibles inside, along with his glasses and other assorted items for our Sunday morning worship.  It is holding up very well and is most convenient.",5.0
I love the look!!!,5.0
This is so cute and handy.  Just way too big for my size Bible.  Good quality too. I love that it had a pen and highlighter and notepad included.  The inside pocket is great size.,5.0
"I like this.  It holds my study notebook, handouts, pen and highlighter with my bible.  There is an outer pocket that I use to hold my phone.  The bible cover is separate and sits within the purse which I prefer to having the bible attached within the bag/purse.  I can take my bible out and leave my note-taking items in the bag.",5.0
I got to have this baby im going to buy this on Friday it God say the same and my sewing machine baby ill be completed.,5.0
Bought for a Christmas gift and they loved it,5.0
My daughter loved it!,5.0
"I love this bag/bible cover. It fits my Key Word Hebrew-Greek Study Bible perfectly. I loved that it came with a pad of paper, pen, and highlighter inside. It has 3 purse-like pockets for my wallets and things from my daily purse, so I don't have to carry a purse on Sundays. Love this so much. I love the extra strap for the shoulder. Definitely a 5 star bag.",5.0
Love it.  Exactly what I was looking for,5.0
"I was worried about the material and how big it was. The material is great (not cheap) and its big, but not overly big.. hangs on my arm/elbow like a purse and carries ALL my teaching supplies and books!!! WONDERFUL AAA+++",5.0
I really appreciate this bible cover! It meets all my expectations and more! It fits my NIV study bible perfectly along with all the extras I have to put in my case! I could not have made a better purchase! Thanks Amazon!!,5.0
Wonderful deal ! Would buy again! Thank You!!,5.0
Love this bag so beautiful my inspire bible fits perfectly in it. Very chic. Will order again. Arrived on time.,5.0
Love it,5.0
"For it's compact size this little ""handbag"" can pack a whole lot of things. I use it for my bible. I can store pens and a few 1/2 inch books along with a workbook and/or notebook. I bought the black one and I love it!

There is an area to place the bible that is much like a book cover that is firmly attached to the ""bag"". You can fully unzip and open your book without taking it out. Great feature for quicker easy pack up and go. The outer cover is stiff and keep its overall shape. The small pocket in front fish mouths a bit for lumpier items and the handles are sturdy.",5.0
arrived as scheduled. I love it.,5.0
love it lot of room in it.,5.0
"This is a great Bible organizer.  I would love to find one just like in leather, though I know the cost would be significantly more.  The set up for keeping materials and the Bible is super efficient. My daughter has one in the pink and brown and she loves her as well.",5.0
Love it,5.0
Excellent Item!,5.0
LOVE IT. VERY NICE AND STURDY,5.0
"Love it! the pockets on the inside left me room to put my sunday school lessons in, some notes and left me room for my bible. I absolutely love the bible cover. It gives a firm cover for the binding and allows you to hook or unhook to the actual case itself. My husband wishes the bible cover was sold by itself because of the sturdiness around the binding and the covers and then instead of the usual cover where it zips around it just snaps. Zondervan will you please sell the covers like you did in this study organizer cover ;)",5.0
"This organizer has everything I was looking for ~ a Bible cover, space for a notebook to take notes, a pen/pencil holder, a holder for a highlighter, and a divided accordion pocket for storing notes.",5.0
Nice it holds large Bible and much more,5.0
"This is a great organizer, I love it! Lots of pockets and space, very helpful for keeping everything neat and tidy. Love that it has a purse strap.",5.0
Well made and useful items inside. Shoulder strap is essential!  You can even remove the part that holds the Bible and carry it separately. It's a great gift too.,5.0
Everything I expected.,5.0
"great organizer, perfect fit for my study Bible....",5.0
my husband loved his,5.0
Came with everything the description said it would include. It also holds my Our Daily Bread Devotional NLT Bible with no problem and still has room for a notebook. Good value overall.,5.0
"Love this! My life application study Bible fits perfectly in the removable inside cover. I can also fit my small devotional or study books in the pockets on the left inside cover. My over-the-shoulder strap was NOT adjustable, but it works just fine for the length I would want.",5.0
Great case! This case is the perfect size!! Holds a notebook and plenty of other things.,5.0
"Awesome!  I love it!  Big enough for my bible study book, bible and notebook.",5.0
"This has been a great purchase so far. Holds my Bible, note pad and pens.",5.0
Very good,5.0
I bought this for a friend and she loves it!  Thank you,5.0
Everything fits in there nice and neat; my Bible my Sunday school book my Monday night Bible study materials. Instead of having multiple things to carry everything is in one very nice organizer bag.,5.0
"This is fantastic and practical and I get many compliments! Love that actual Bible cover is small and unobtrusive, but larger part has room for study books, highlighters, etc.

I use a wheelchair and the strap is easy to toss over back if chair, but size is also easy to hold in lap for service. Very useful for me - especially that I can scoop up my workspace and zip it in to go - nothing goes flying!",5.0
All I needed and more. Love the Bible cover that came with it. Plenty of room. Very sturdy. Not made flimsy. Will order another one in different color.,5.0
"This is one of the greatest organizers I have found for my Nook and other items that I need to carry along with me on a daily basis.
It is just the right size for what I need.  Thanks for a great product.",5.0
