Review,Rating
"Husband loves this thing, very heavy duty",5.0
I love all the versatile exercises that can be done with this resistance rope. I have done many of the exercises provided in the booklet and they can be interchanged and you can mix up hour you work. The added attachment to use it with a door is a great addition and I really like the exercises using a doorway. Great Product!!,5.0
Works great.,5.0
Bought this for my Aunt who needed a band with a door mount. It's great durable and comes with instructions that were handy,5.0
Fantastic Item and seller . Thanks for a great product !,5.0
"These have been the only bands I've ever bought. With that in mind, they meet my expectations but wish they'ed last a little longer. My most used band developed nicks after about 18 months. After tempting fate I decided to heed the manufacturers warning and get a new one. They come in any weight range you can imagine. I initially bought a pack of 5 or 6 but since replaced and bought individuals. I don't have the space for weights and I understand they'll never be the same but I love the portability and flexibility to do just about any weight lifting exercise.",5.0
perfect amount of resistance!,5.0
Great product for the price,5.0
Good,5.0
There well made and have not broken on me yet. I have gotten used to them and need more tension. I will buy this product again as my fear of breaking on my face or other  has gone away.,5.0
I bought it for my office to help out between workouts when I get bogged down.,5.0
"Excellent quality, as perfect as I expected.",5.0
I strongly recomand.,5.0
"I like these better than the SPRI, they are a little more durable. I've been using them in a core class, we stand on the bands a lot and they're holding up well.",5.0
"Great Resistance Band, My arms are exploding after 10 reps.  I really get a great workout, and its made of good quality.  Highly Recommend!",5.0
"I purchased the blue resistance band (4-6lbs) because I'm somewhat of a resistance band newbie. I chose this band because of the great reviews about their customer service and the price. It has worked well for me and I am very satisfied with my purchase. Once I get too comfortable working out with this resistance band, my next purchase will be the green resistance band (10-12lbs) for sure!",5.0
"Black Mountain makes quality products and this is one of them. When I'm pulling on resistance bands, I want to know that nothing is going to pop off and hit me in the face. These bands are tough!

Previously, I bought a set of these bands that came with removable hand grips. I discovered that I got tired of moving them around when I wanted a different size. These bands come with the hand grip attached. I like that better. Yes, you can save money with the set, but trust me, you'll get tired of moving them around!",5.0
"Great resistance. sturdy and durable, overall good product. Fully satisfied.",5.0
"Very good quality, it is very strong and the handle is very comfortable to hold. Definitely recommended.",5.0
Great!,5.0
Perfecto,5.0
"Got a set of bands, but they turned out to be overkill. This one does everything! My husband and I use it when we do our home workouts. Well made and user friendlythe handle grips roll so you can make fluid motions, and the door anchor rocks. The black one is the perfect level of resistance for both of us. At the gym I used to use about 30 lbs resistance for bicep curls, around 45 for seated presses and maybe 80 lbs for pull-downs. Husband just stands a little further out for more resistance.",5.0
"High quality, great product!",5.0
very sturdy band. I love the door strap and the booklet they provided. The booklet has a lot of good exercise with pictures and is  very easy to follow. I might buy more bands from them.,5.0
"Very well made, strong. This product seems like it will last a long time, it has given me tons of good workouts. I would not hesitate on buying another band from this company.",5.0
"It was ordered for granddaughter, she loves it.",5.0
"As always, great product and a great purchasing experience, fantastic on both accounts !",5.0
Works greats,5.0
Good for a child to use for workout or stretching. If you are an adult it's resistance is too little for workouts.,5.0
"good quality, just the tension that wanted",5.0
Excellent tool to have.,5.0
I love it!,5.0
"I read another review of an older man saying he got the second to the heaviest and wasn't satisfied with the weight. When they say 45-50lbs I think they mean all together, not on each hand. So if you get that one, be thinking more like 25lbs of resistance for each hand, unless you grab both handles and do exercises which isn't really hard. Or just buy two of them. But exercising like that is a little harder unless you weigh a lot, because unlike say using dumbells on a bench you aren't anchored against the weight, so 90lbs up high can pull you back, so you have to lean forward against it. Military presses can be done just sitting on the middle of it, hooking both thumbs under it and pushing up. No, they aren't long enough to do them standing up but you can do them like that and they are pretty effective. I wouldn't bother with anything less than the purple one unless you are a woman who just wants to lose weight. For men, a single purple band is good for toning, and if you want more resistance to try to build more strength get two of them. Unless you are really tall you shouldn't have a problem doing curls, shoulder shrugs, rows and things like that standing on them.",5.0
GREAT PRODUCT,5.0
Excellent product for pull downs and rows,5.0
"A great replacement for lighter weights. I originally bought this to use instead of rowing machine, but it ended up replacing a lot of my free weights.

I've planning on buying a few more.",5.0
Great,5.0
As expected.,5.0
