Review,Rating
"So good, nieces take mine. Gave to rebuy again and again",5.0
So glad I found this! I'm no longer pestering my fiance with leaving a light on to read at night. It has multiple brightness settings and clips easily onto a book or an e-reader.,5.0
Works great! Illuminates both pages easily of any size book. Great product!,5.0
This is great quality and really gives off a lot of light. My daughter loves it and the purple color we chose.,5.0
I use it on my piano music stand over my music. Works great!!!!,5.0
So bright and gorgeous. Still working perfectly 2 years later.,5.0
Great Product. The whole family loves it.,5.0
This are great book lights. I bought one for myself and ended up ordering additional ones for other family members. We use them regularly and them still seem as good as new.,5.0
"Exactly as described it gives excellent light, clips easily to all of my books, and is very lightweight. I also like the two different brightness feature though I don't ever need to use the brightest setting it's nice that it's available.",5.0
"I really enjoy using this book light. Very easy to point where I need it to aim, and there are two different light strengths. I seem to use the less bright one most often while in a dark room. Seems sufficient!",5.0
So far so good.  It's perfectly super bright and can flex in any direction you want.  I love that it has 2 brightness options.  I really like everything about this light; let's hope it holds up for many years to come.,5.0
Perfect to read by! Have two - just love them!!!,5.0
Best book lamp ever. My kids use this daily and love it. Hold up to abuse of being dropped a million times also and not because it doesn't stick on a book but because I have boys who are rough with some things,5.0
Mighty Bright is the best for book lights.,5.0
Third one we purchased. Delivered on time and as advertised. Thanks!,5.0
Best book light EVER,5.0
"This is an amazing little light , so bright, and I get about a total of 20hrs from one set of batteries , buy the ac plug adapter and it's great for reading when at home too",5.0
Very well made reading light,5.0
Perfect for my nook!!! I use it all the time.,5.0
Excellent light & has come in super handy during grad school.  Have enjoyed reading on the back porch at night.,5.0
Bought this for the hubs.....I wasn't sure how it would go over...its one of those...oh yeah thats great :::eyeroll:::: or WOW how did you know I needed one of these??  I got lucky...he needed one of these...he put it at his computer station and uses it daily...he loves it!  So this is technically his review....but he is a happy guy...and that makes me happy too!,5.0
"This is a good product. My wife ordered this first and after borrowing hers, I decided to get one for myself. I like the option of using one LED or two, depending on the level of light I need at the time. I do find myself re-positioning it from the left page to the right, but it's a quick and easy adjustment. The flexible arm is long enough to put the light right where I want it and stays in position well. I'm on my third book with it and have no regrets.",5.0
