Review,Rating
"Very happy with this game and the miniatures in this pack, definately a step up from the miniatures in previous packs",5.0
"I didn't think I would like be game that much, really just bought them for the figures. The game play is really good and worth playing - very surprised.",5.0
"My boyfriend and I are big fans of the Dungeon Command games.  We now have all of the faction packs including this release, which is the newest.  It is definitely noteworthy that ALL of the miniatures included in this pack are completely NEW, not re-releases from the old D&D 3.5-era miniatures booster packs.  The previous Dungeon Command faction packs (Cormyr, Lolth, Goblins and Undead) all featured old miniatures, although many of those creatures have new color schemes.  To some tabletop RPG enthusiasts, the miniatures alone will be well worth buying this pack.  They are EXTREMELY well designed models with VERY nice paint.  We spent about 10 minutes marveling at the figures before we even thought about checking out their matching game cards.

Dungeon Command Veterans: The creatures/order cards from this pack add lots of fun new elements to gameplay and strategy and match well with any of the other faction packs.  In our first game, we pitted the Orcs of this set versus the Undead.  There seemed to be a very nice balance between the power of both factions, playing them right out of the box without customizing warbands.  Now that we have all of the faction packs, I think we'll probably start doing some customization.

If you are new to the Dungeon Command game, this is a very fun strategy board game / Trading card game hybrid where you essentially battle your army versus your opponents creatures until one warband proves victorious.  You draw cards in to your hand during your turn to bolster your creatures basic attacks/abilities.  The game takes about 2-3 minutes to set up, once you know how to play and a match can run anywhere from 30 minutes to 3 hours depending on how serious you get (kind of like chess.)  One of the best things about Dungeon Command is that you can easily put it away/set it back up if you need to take a break in the middle of a game.  My boyfriend and I usually play an entire match in two sittings during the weekdays.  If you are in to the D&D world and/or role-playing, you can definitely add as much RP and dialogue as you'd like.  If RPing isn't your thing, don't worry-- there's no dice rolling or paper and pencil requirement for Dungeon  Command, just lay out the board, draw your hand and you're ready to play!",5.0
"In all my years as Dungeon Master, there are some creatures that are always at the heroes heels, threats that doesn't get tired of puting the characters' lives in danger. The orcs are by my personal choice the favorite foes, the ideal enemies that keep pestering the adventurers over and over again. This box contains the types of orcs that I like. Maybe it can be your favorites too, that's a matter of discussion.",5.0
Awesome addition to my rpg GM system.,5.0
"Wish it had a few more sheets, it is good as a stand alone, but purchasing two of this set really gives you some areas to improve on, like more roads and streams.",5.0
Thanks for the fast shipping~!  Item was exactly as described.,5.0
"well worth the money! I was initially irked that I had to pay so much for some bits of printed paper, but these are sturdy, like a baby's board book, and nice quality! I'm looking forward to getting my other sets to mix and match.",5.0
My grandson loved it!!,5.0
Great tiles,5.0
Good,5.0
"The figures are very high quality, as are the board pieces and cards. If you're DMing and you need a horde of orcs, this is the one for you!",5.0
"I loved this game...of course that I am fan of this theme, but the Wizards Team could be create new expansions for this game.",5.0
"Great game.  Value for the price is great also.  My advice, buy one and try it with a friend.  If you enjoy it buy the other 5 as well.  It really is like a mix of warhammer on a very small scale and magic the gathering!",5.0
Great start for any Wargamer looking for Orcs to add. and just perfect for everyone else looking for bad guy miniatures in general.,5.0
I really love this game and I hope they make more.  It is based more on strategy then on luck which I prefer.  My 10 year old son and I play all the time and occasionally invite the 13 year old neighbor and his dad over for four people games.  It is simple enough for younger kids but challenging enough for young and old alike.,5.0
Satisfied!,5.0
Excelent,5.0
I love this game and recommend it highly. Its easy enough to learn and has very clear rules and a cheat sheet that keeps the game flowing. One of the best things is that although each army is customizable most people just play the premade as they are well thought out and it really simplifies and speeds the game up because you do not have to go through the tedium of picking and trying to figure out synergy and which card works best with which. I just wish they would produce some more sets.,5.0
"Note that my review is identical for the three packs we own.

This is another pack for the Dungeon Command skirmish battle system.  For the most fun and balanced battles, you should have a minimum of two of the Dungeon Command packs.  Don't buy two of the same pack though, because half of the fun is making the most of your army with all of their different skills and special attacks.  The game is easy to setup.  This game is more about proper usage of cards than it is about lucky dice rolls.  That is a good thing.  The cards are beautiful and the prepainted miniatures are fantastic.  Fans of Wrath of Ashardalon, Legend of Drizzt, and Castle Ravenloft will recognize a few of the miniatures, as some of the molds have been ""recycled"" for this game.  My family has Lolth, Undeath, and Gruumsh, but usually only play one-on-one battles.  You can play up to four players, but you would need four, preferably different, Dungeon Command Packs.  As a bonus, the packs contain cards for each miniature, so that they can be used as monsters in Wrath of Ashardalon, Legend of Drizzt, or Castle Ravenloft.  I really appreciated that extra option for using the miniatures.

The Gruumsh command pack is Orc themed and includes the deadly ogre.  I always hate facing this beast on the battlefield, because he is extremely lethal when combined with Vorpal Blade card.  YIKES!  My son owns this pack and battle my undead warriors.  It's always a good match!  As long as I can do enough damage to the Ogre before my Dracolith is killed, I usually prevail.  However, if his Ogre sticks around too long, the undead tend to go to their second graves!

The price on Amazon is fantastic.  Buy it!",5.0
100% ok fast shipping as descibed,5.0
just right,5.0
Lots of interesting tiles in many sizes. Even the box lid could be useful.,5.0
"I ordered this as a ""what the heck"" buy, since I've never had tiles before, I wasn't sure if I wanted to dive into them and the price was irresistible.

This tile set is an amazing set for the price (I got it for just over $12!). The tiles are extremely well printed on very heavy card stock (2mm thick). Just poring over them and looking at the details has got me thinking about how I can use them. Others here have given excellent descriptions as to what you're getting, so I'm not going to repeat them and my set came exactly as all the others described. I am very pleased with what I got. So far I'm having fun just playing around with layouts!",5.0
"We actually get a lot of use out of this set. In the past, we had a big sheet of 1 inch square graph paper - like you use on conference room easels. But this is faster to setup, reusable and better artwork then we usually took the time to provide. Currently playing Thunderspire, which comes with incomplete paper maps. These tiles have been real handy in adding on the areas they didn't print on the poster.",5.0
This a perfect must have set! It really helps my group better plane fights and helps add a lot of eye candy to your gaming.,5.0
Almost infinite possibilities!,5.0
Useful if you don't have a grid to draw on or if you want to add something to your grid.,5.0
Great product.  Can use it for more than just D&D games.,5.0
"I've played all the previous iterations of the D&D Miniatures skirmish games, and this is an outstanding version. Be sure to pick up the other four sets to have all of the options the game can offer, although each set is playable and fully enjoyable on it's own.",5.0
"I honestly just bought this for the minis. It's a great value just for that, but to have the option of a full game as well is great. The minis are typical WotC quality, so you get just what you'd expect. Great way to pick up a brand new themed set of minis for a very reasonable price.",5.0
"I bought these because I play D&D and it's a great price for the minis. I'm very pleased with the quality of the minis. I haven't even played the Dungeon Command game yet, and I'm already satisfied with the quality of the minis for playing D&D. I'll write an update once I have a chance to play the Dungeon Command game to give a review of it too.",5.0
"The miniatures in this set are all 100% new sculpts, and have fantasctic paint apps.
also a few of them are from the new D&D next art.",5.0
"These just make the game come alive. Battles go much more quickly and smoothly. Very nicely designed, and a great way to give detail and depth to battles.",5.0
It floats!!!!,5.0
"These are really great, the only problem is that almost all of the shapes of the tiles are either rectangles or squares. Other than that it's a great way to add flavor to your sessions.",5.0
Great addition to my game. Hopefully we'll get more of these for the new eddition.,5.0
I use these all the time. They are perfect for creating your own dungeon or copying one that has already been published. I have not had a single time when I wished I had a new tile. I use this in combination with the Shattered Keeps Map Pack and I have run 3 quests using only these. They're great,5.0
The product is exactly as the description and pictures. Thats good because I could know what I was purchasing without being worried.,5.0
This is useful for 4th edition where placement of everything matters. it helps visualize the fight and stops the squabble regarding whether or not the spell or ability reaches the intended target,5.0
As advertised good quality. Added some better play spaces then drawing would allow. Going to buy another pack soon. yay,5.0
"Awesome product for D&D fans. My boyfriend really liked this set. The cardboard was thick and came in a good variety of tiles. There are several large tiles, medium tiles, and small points of interest like bushes, a statue, a graveyard, cave.",5.0
"First, let me start off by saying I don't own a battle mat, but I own several Flip-Mats. I bought 2 of these and 2 of the wilderness set. Each box provides you with a decent collection of slightly generic, but useful tiles to create a dungeon on the fly. I'm not fond of the smaller more location specific sets, so to bolster my tile collection I simply bought 2 of this box... twice the tiles, w00t!

I also recommend the Wilderness set...
http://www.amazon.com/Dungeon-Tiles-Master-Set-Wilderness/dp/0786956127/ref=sr_1_1?ie=UTF8&qid=1371681199&sr=8-1&keywords=dungeon+tiles+master+set+the+wilderness

I do not recommend the City set...
I find the City set extremely underwhelming and ugly, I would rather just use Game Mastery Flip-Mats (Village Square)  and GameMastery Map Packs (Shops).",5.0
Way better than what I expected. Even the box is high quality. Thinking about buying another so we can lay out large dungeons without needing to remove past areas.,5.0
"While designed for use with D&D 4E, this tile set of a stone work dungeon could be used with any RPG.

Quality of the tiles is excellent and most have artwork on two sides.

Scale is 1"" per square.

There are plenty of tiles in this box set, and the box itself is good to use as storage for the tiles making the set easily portable if you are a DM on the go.",5.0
"What a great product, my pc's love these tiles, we have a few sets now after purchasing these. Can't beet the price for how much you get!",5.0
"The best part I see is the box!  What a wonderfully diverse and rounded set for the cost.  I am so happy, and, as the DM, you know that if I am happy, my players are happy!",5.0
"Quicker than I expected, perfect handling and package. All I could hope for. I was surprised by the amount of time it took, I mean, how quick it was than I expected.",5.0
The best for any gammer or player. Fast and easy to us. Strong and still light. Have terrain changes to help in any setting.,5.0
The pieces are high quality and are easy to integrate. It is a very good material and indispensable for those who like to play RPG with miniatures. It's a good choice,5.0
This is a great accessory to the starter set.  I would recommend this to anyone who owns the starter set.,5.0
makes map making easier when creating and adventure for your party. and is easy to set up.  and take down.  I would recommend it to any D&D fan,5.0
"The tiles were exactly as described: they are sturdy, colorful, and will prove to be very useful in forming terrain for outdoor-based encounters. Fits very well with other supplements, especially the Witchlight Fens, which provides needed variety in the water aspect. Altogether a very good value for the price.",5.0
"This is one of the most versaTILE (pun entirely intended) things that I have gotten as a DM.  The tiles can be used over and over in different combinations without seeming familiar.  There are a good variety of generic tiles that will not make a person think ""Oh, I've seen that rock formation in the last encounter.""  However, there are also some unique tiles that give players a sense of importance when they see it.  With the right settings and plot, you could run an entire campaign with just this kit.  It should be noted, however, that this works great in conjunction with the other Master Sets (I personally use the dungeon set as well) to expand your settings.",5.0
"Excellent set of tiles with a good variety of rooms and hallways. A little skimpy on ""furniture"" and dungeon dressing, IMO, but for the price I'm satisfied.",5.0
this is a cool addition to playing d&d.  I can build or rebuild how I want pretty quick. I like it.,5.0
