Review,Rating
The Kids Love IT!  I don't use it.,5.0
Much good,5.0
worked great,5.0
Works well have not had a problem with it and hopefully I never do lol,5.0
my boyfriend loves his ps2 :),5.0
"Great product, as advertised",5.0
"It did the job for my son. He is happy so, so am I.",5.0
"As promised,  will order again",5.0
It works great on my PS2.,5.0
Works great,5.0
Just what my son needed! Thanx!,5.0
Works.,5.0
"works good
thanx",5.0
EXCELENTE,5.0
plenty of space,5.0
This is a great buy. Works just as well as the Sony ones at a lot better price. Would definitely recommend and order again.,5.0
Works great! It even came five hours earlier then what was said. Very happy about it getting here early and it working!,5.0
works great and came sooner then i thought ! 2 thumbs up,5.0
I like it,5.0
"Good additional memory card, and significantly larger than the original 2-4 MB cards that the old PS2's originally came with. So far we've had no issues with saving games to the this card, and it should stand us in good stead for all of the old games we still like to replay.",5.0
"We've been looking for a memory card for a while, thank you!",5.0
does a great job,5.0
Works perfectly.,5.0
"Works great on fat PS2, no problems, also has a lot of memory so its virtually impossible to run out.",5.0
works great,5.0
Works great,5.0
great for my niece,5.0
excelente,5.0
"Massive memory , 50 save spots on Final Fantasy 12 .",5.0
"Good quality, works perfectly.",5.0
it has been working just fine no problems,5.0
A+,5.0
Great price,5.0
"Thank You, will buy again. Super fast delivery!",5.0
works as expected.  Good quality product,5.0
"You read right. 128MB. Not the normal 8MB almost all the cards were.
You get 128MB and you also get to use them, (PS2 slim is what I used). The memory card manager reads you have ~126,345KB free.",5.0
Does what it's supposed to and worked great for my kids.,5.0
It worked great!,5.0
Thank u,5.0
I feel very good,5.0
"Was everything and more for PlayStation users, you need to get this particular memory card because you will not have to keep buying other 8 MB cards just to save your other games.",5.0
work good,5.0
I am very happy with the 128Mb for Playstation 2.,5.0
Great!!!!,5.0
Loaded most of my old PS2 saves on it due to several of my memory cards are missing files from 9 years ago. I am satisfied.,5.0
"Came as shown and on time, extra memory for my son, so was very pleased.",5.0
Super fast shipping . awesome price for the memory card . very pleased with my purchase and experience from the buyer,5.0
good card just what I needed.,5.0
Fast shipping and item works great...thank you and GOD bless,5.0
excelet,5.0
So much data space! Works just fine.,5.0
Thank You!!!,5.0
"Amazing space for memory. 16 times bigger than my old one, works without a hitch. Before I had to struggle to fit games into my memory card now I have more space than I know what to do with. Don't regret this purchase one bit.",5.0
This is a lot of memory for my old PS2 so I can store huge amounts of game data. All for a very low price! Perfect.,5.0
everything worked as promised. seemed to hold more data than stated. great,5.0
Pretty good,5.0
Worked great in our Playstation machine.,5.0
Works fine! and stores all my games and also seller was great!,5.0
as advertised!,5.0
I bought this as a gift for a family member and he has not had anything negative to say about the product. He seems to be quite satisfied.,5.0
Good value and work perfectly in my PS2. I actually bought two of these last year and they are still working great! Fast shipping from seller Mahmaou!,5.0
GOOD JOB///,5.0
Works great a lot of space for data! Came fast in the mail! :-),5.0
Works perfectly....thank you Amazon..,5.0
My son loves it. He saves all his games and is totally enjoying his ps2.,5.0
Best price and won't need any other memory card again.,5.0
Works as it should.,5.0
Amazon yoi guys were great ordered it came and is working great thank you so much,5.0
works great,5.0
Reliable device,5.0
Works great!,5.0
great item,5.0
EXCELENTES,5.0
"Arrived earlier than expected, good price works very well.",5.0
Yeah awesome.,5.0
works great no problems at all yet...,5.0
Perfct,5.0
"It works great, I transferred all of my info from my other memory card and it works great. the only thing I noticed one of the screws was a little loose but I read that's how it supposed to be, if they are too tight card may not work. I'm a happy camper now because I can play all my old PS 2 games again.",5.0
"All I can say is... wow. This works perfect. It is more space than I will ever need, but the more the merrier. Right? Oh, one more thing: A lot of people said that it takes a long time to save, and boy they were right! Plus, I unscrewed the screws slightly so the little PCB chip moves around a bit. It came in an OK time, but gosh it was worth it.",5.0
it`s good.,5.0
My old PS2 is now running faster and it is much more enjoyable with the new memory card.  Great value!,5.0
Insanly good for the price but i did something with it and it messed up and webt to 64 mb but thats still insane for the price,5.0
A+++,5.0
"It was delivered as described - new item, never opened.",5.0
BIEN,5.0
Perfect! Arrived before schedule,5.0
Excelent product!!!,5.0
It is exactly what I needed.,5.0
Memory card works fine. I haven't seen it or touched it but I am hearing no complaints from my son who is using it. Did arrive a day earlier than guaranteed delivery date not a bad thing. Thank u ou.,5.0
Good product...,5.0
groovy!,5.0
"Thank you, item is as described!",5.0
"As I'm writing this I've had this memory card for a month and nothing wrong has happened, on my nostalgia trip of games I doubt I'll ever run out of space.",5.0
Everything was great as usual. Thanks again Amazon for making my life a little easier.,5.0
Worked just fine for my nephew's PS2. No complaints.,5.0
"Amazing. More memory than I could possibly ever need. When I first saw this I thought it would be an obvious choice due to memory size and pricing, but then I read the the card can often be extremely slow or even not work. I decided to risk it and buy it anyways, and have had absolutely no problems, saves only taking up to 30 seconds on average.",5.0
IS GOOD,5.0
Thanks!,5.0
Great.,5.0
Excellent,5.0
It works and is just like the description.,5.0
Lots of room on this card great product u have to get this thing plenty of space for more than u could every play,5.0
I can't tell to much about this item. But my son was very happy because now he can save is games as he plays.,5.0
It works.  Which is something I worry about when buying aftermarket online. 128MB was the biggest I could find for my playstation two.,5.0
Works great! And so much less expensive than the used 8 meg cards being sold. This is a no brainer. Will probably end up getting another one soon.,5.0
"My daughter found the old PS2 game system for her youngest son and didn't have but one or two games, no memory cards, etc. We found what we needed on Amazon!",5.0
"These cards allow me to save a large amount of downloads, and they are compatable with my PS2, they rock!",5.0
I am glad that I had purchase this 128MB memory card. This was recommended to me here in Amazon by another gamer.,5.0
"I had no idea that PlayStation stopped 3rd party memory cards from working for the PlayStation slim, I just figured a memory card is a memory card. So I ordered it but it wouldn't work. I contacted the seller and told them it was defective and simply would not work. They were very kind and said that they would replace it. by this time I figured out that it wouldn't work for this PlayStation slim all together. So I asked for a refund ( not actually thinking they would give it to me, considering I had already open the package) and they gave me a full refund. It was very nice of them and they did not have to give me the refund but they did, and that's why I am giving them five stars, they are a great Amazon seller. But just remember, 3rd part memory cards do not work for the PlayStation 2 slim consoles! If you do have a slim then you might want to look for a memory card made by Sony. I also think Magic Gate memory cards work as well. They may cost a little more and you won't get nearly as big of one but you won't be wasting your money.",5.0
daughter still loves her play station needed a bigger memory card for a couple games so searched amazon and found this to order for her.,5.0
Cam quick and works like new.  It is everything that I expected it to be and plus it was cheap.,5.0
"A lot of times I think people only leave reviews on the complex items or when there are issues. Don't expect anything long in this review: the item was received promptly, works as described and no complaints. Nothing else to say.",5.0
"This memory card has unleashed my games from start, but don't stop gameplay to awe yeah, now let's get some lunch... Save! gameplay. Holds up well, saves and loads reliably, does what a card should do: Save my Games!!",5.0
"So I came across an old PS2 game at my parents while visiting, that for one reason or another, never made it back to my place (and thus was never played. For the record it was The Godfather game). When I returned home, I played it a bit before bed, then tried to save it- only to find the memory card  had was full (and no I wasn't willing to delete anything on it to make room). Here comes Amazon to the rescue! (with Prime 2 day deliveries, even), I decided to go the smart route, and for a few extra bucks, got the 128MB instead. Smart move. I kept the game on (and tv off) and sure enough, the next day the memory card arrived and I was able to save my game. Amazon, you are my personal gaming savior!",5.0
Now I have a memory card to hold all my games at last! Love it!! Best buy for sure!! Yippee!,5.0
this has huge memory for ps2 and is great because it can save a more than a few games and save you some money,5.0
Now I don't have to worry about deleting a save game file or replays anymore.  I can keep them all!!,5.0
Great price and works awesome!!! I bought this for my brothers and they are happy. Woulds't find anything better at this great price.,5.0
It was a quality product and it works just like I need it to. I love it very much thanks,5.0
Works great!!! I suggest this to anyone! It's a great price as well! Overall I'm very happy with the purchase!!,5.0
Great Product. Great Price. Great condition. Good shipment time. Would recommend this product for anyone looking for a good memory card.,5.0
one of the best ps2 products because it 128MB and normal PS2 Memory Cards only have 8 and can stor a lot of game saves,5.0
"It was just what I needed to play my games, I'm going to order another one for the second person to play",5.0
I was weary of buying..But it works great. Would recommend it to any one. Great price and great value. No Problems,5.0
I followed the advice of several other commentators and loosened the back screws before I placed this memory card into my PS2. It works like it should! I would definitely recommend this to any of my gamer friends. :3,5.0
"Arrived on time, great for the games we play and save. Very reasonable price, ps2 games don't take up alot if room, so no complaints",5.0
"got this for my grandson for Christmas, a lot of memory for a great price.  My grandson is happy about this one",5.0
This memory card was perfect for my ps2 I love it because I play a lot of ps2 games and you can't really find it on stores at all,5.0
Helleva deal for an ps2 memory card for the max memory. I will b buying more in the future.  Yea,5.0
okay it works for me i wanted for dragon ball z bt2. i don't know why it doesnt work for you guys. Thank you allnice,5.0
My grandkids needed this for their PS2. Works really well. Very happy with the price also. At first it didn't seem to works so well so I tightend the little screws . Then it worked fine.,5.0
It works fineb. It loads quickly and acuary I fine it a dependable product I wouldd but it agin no problem,5.0
what more can i say about a memory card it works like it is supposed to so its wonderful for the price,5.0
"I have the old, fat PS2. So far no problems at all with this memory card. Very inexpensive, lots of storage space! Great buy!",5.0
I never knew they made a 128MB for Playstation 2!?!?Like lol this thing last's sooooo long like it has alot of  memory in this little thing! I rated this 5 star's well because I just love it!,5.0
Not much you can say on this item except it does what it is suppose to do. It stores a lot of games,5.0
"Got one for each of the boys as they are so picky about keeping their info separate. They were all very happy, said the cards worked like a charm!",5.0
"I give this 5 stars because I only ordered one. However when it arrived at my door the package had 10 in it,as well as a Ferrari,pony,and basket of kittens. Its a 128mb ps2 memory card,it is what it is.",5.0
Very happy with the product and the price was fantastic. There is plenty of memory in this single card. Delivery was prompt.,5.0
This was a Christmas gift for my son. He needed a memory card for his PS2 and this fit the bill. Great product and price!,5.0
The product came in good condition! It also can store a lot of game saves! All in all a great memory card.,5.0
These are great little cards to store games on.it save you money also. they come in very handy. Thank you Brenda ONeal,5.0
"Why was every memory card 8 mb when i was young, i could have just owned 1 of these and not had to budget my memory space. i cant even fill a tenth of this thing, awesome",5.0
So far so good it saves the games that need to be saved.  I would buy another one if I had to.,5.0
PS2 Memory Card 128MB for Playstation 2.  This will help me keep from having so many memory cards nothing more annoying than having to get another card cause you filled yours up if there was only a way to have save states on this system:),5.0
Works great lots of memory should have bought this one a long time ago. I actually purchased two of these they are great,5.0
its awsome. you can store several games worth of data. if you're a ps2 fan  then this is for you.,5.0
for such a good price and It arrived BNIP I am extremely happy with my purchase and since Sony no longer supports the PS2 I plan to buy the games I want from Amazon I have purchased 30 items in the past 6 months and I am a very satisfied customer,5.0
will use agin thank you my husband loves it he has not stop play his games. arrived day early . thank you so much,5.0
Love it very nice Love it love it love it there is not much more I can say but I love it,5.0
"I've always hated dealing with running out of room on my 8 MB and 32 MB PS2 memory cards, but now that I have this bad boy I never run out of space. Fantastic product for such a cheap price. Wish I could have found this years ago.",5.0
Kids are happy that this didn't cost too much and has a lot of memory for their Playstation games. Got it on time and in great shape,5.0
the Play Station 2 memory card works quite well and I can store as many games as 16 8MB cards,5.0
After reading all the negative reviews I was hesitant to buy but I have no problems to report after 3 weeks.  It works fine.,5.0
on time and in good  work good  and i will like more  to see like that  think you  very much,5.0
Great price for this. It works great. I was glad to find this for my son and not half to spend a fortune on it.,5.0
Just what I needed. Holds a lot of space. So no need of worrying I Recommended this to many who owns a ps2 system.,5.0
Work great and plenty on memorey. I love it. This is great if you play slot of games. You won't run out of memory.,5.0
"I find that this memory card indeed does it job quite well, so far I have not encountered any issues.",5.0
it is very I am enjoying it very much and I really love it thanks a whole lot appreciate it,5.0
"I don't think this will replace all other memory cards, but it does work fine with my PS2 and I tried saving a few different games to tr it out.  They all worked.  I have the slimline PS2 so I don't know if that makes a difference with it working or not.  The price is right.  I don't think I will be saving any of my serious games on this card, but this is a great value for sure!  Also I got it shipped free because of a contract with Amazon, which is always real nice.",5.0
I had no problems like others had to do with their memory card this work as promise and was a great price compared to Sonys,5.0
"Quite simply, if you have a ps2 you need a memory card. The 128MB card should do the trick for any gamer.",5.0
"Just as the title suggests. Its a PS2 memory card. I plugged the thing in and it saves my game progress. Works as advertised, no complaints.",5.0
